IE_NAME;IP_PROP101;IP_PROP169;IP_PROP170;IP_PROP103;IP_PROP104;IP_PROP105;IP_PROP106;IP_PROP107;IP_PROP108;IP_PROP171;IP_PROP172;IP_PROP173;IP_PROP174;IP_PROP175;IP_PROP113
"Тамбов, Салон &quot;Декорация&quot; (ИП Егорова З.Р.) ";улица Интернациональная, д. 30 А, этаж 2;Площадь Ленина;Налево в красную дверь;ИП Егорова З.Р.;Салон Декорация;9107527525;décor.tmb@mail.ru;décor.tmb@mail.ru;;09:00 - 18:00;Выходной;Выходной;Нет;;3211
Тамбов, Строй Град ;улица Киквидзе, д. 69 Б;;;Строй Град;Строй Град;89158680070;;;;09:00 - 18:00;09:00 - 15:00;09:00 - 15:00;Да;;3211
"Тамбов, ТД &quot;Интерьер&quot; ";улица Коммунальная, д. 21 А;рынок;;"ТД ""Интерьер""";Обои Русь;84752713032;;;;09:00 - 18:00;09:00 - 18:00;09:00 - 18:00;Да;;3211
"Тамбов, Магазин &quot;Decobuilt&quot; ";улица Мичуринская, д. 215;;;"Магазин ""Decobuilt""";"Магазин ""Decobuilt""";89204772222;;;;09:00 - 18:00;Выходной;Выходной;Нет;;3211
"Тобольск, Магазин &quot;Уют&quot; ";переулок Рощинский, д. 68;"""Уют"" магазин товаров для ремонта";;ИП Дергоусов Сергей Владимирович;"""Уют""";"3456240773; 34562241970";svet-krep@mail.ru;svet-krep@mail.ru;;09:00 - 19:00;09:00 - 19:00;09:00 - 19:00;Да;;3616
"Томск, салон &quot;Идея Ремонта&quot; ";ул. Советская, д. 108;"Салон ""Идея Ремонта""";;"ООО Торговый Дом ""Европласт-Сибирь""";"салон ""Идея Ремонта""";"3822530130; 9833496667";romantika2020@gmail.com;romantika2020@gmail.com;decoline.su;10:00 - 19:00;11:00 - 15:00;Выходной;Нет;;3215
"Тюмень, Салон &quot;Архитектурный Декор&quot; в ТЦ &quot;Премьер Дом&quot; ";улица Мельникайте, д.104, 1 этаж;"ТЦ ""Премьер Дом""";;"1. ИП Чащилов А.П.; 2. ООО ТК ""Архитектурный декор""";"Салон ""Архитектурный декор""";3452595409;galant-pd@mail.ru;;www.decor-ad.ru;10:00 - 20:00;10:00 - 20:00;10:00 - 20:00;Да;;3220
"Тюмень, Салон &quot;Архитектурный Декор&quot; в ТЦ &quot;Орион&quot; ";улица Федюнинского, д. 43, 1 этаж;"ТЦ ""Орион""";;"1. ИП Чащилов  А.П.; 2. ООО ТК ""Архитектурный декор""";"Салон ""Архитектурный декор""";3452546226;546226-orion@mail.ru;;www.decor-ad.ru;10:00 - 21:00;10:00 - 21:00;10:00 - 21:00;Да;;3220
"Тюмень, ул. 50 лет ВЛКСМ, 13, салон &quot;Архитектурный декор&quot;  ";улица 50 лет ВЛКСМ, д. 13;;;"1. ИП Чащилов А.П.; 2. ООО ТК ""Архитектурный декор""";"Салон ""Архитектурный декор"" ";"3452595746; 3452595745";info@decor-ad.ru;info@decor-ad.ru;www.decor-ad.ru;09:00 - 19:00;10:00 - 18:00;10:00 - 18:00;Да;;3220
"Улан-Удэ, Гипермаркет &quot;СМИТ&quot; ";улица Жердева, д. 8а;"Гипермаркет ""СМИТ""";;ИП Доржиев Г.Ю.;"""СМИТ""";3012297800;kaporskaya@smit.stbur.ru;smitbur@mail.ru;tgsmit.ru;10:00 - 19:00;10:00 - 19:00;10:00 - 19:00;Да;;3275
"Ханты-Мансийск, Салон интерьера &quot;Декор Стайл&quot; ";ул. Чехова, д. 82, 1 этаж;"Салон интерьера ""Декор Стайл""";;ИП Иванов Руслан Александрович;"салон интерьера ""Декор Стайл""";"3467394500; 3467337755";decorst@mail.ru;decorst@mail.ru;;09.00 - 19.00;10.00 - 17.00;10.00 - 17.00;Да;;3644
"Ханты-Мансийск, Магазин &quot;Еврострой&quot; (ООО &quot;ИНТЕРЬЕР+ &quot; Чащилова) ";улица Чехова, д. 82, (1, 2 этаж);"Магазин ""Еврострой""";;"ООО ""ИНТЕРЬЕР+ """;"Магазин ""Еврострой""";"3467928306; 9527000117";interplus86@mail.ru;interplus86@mail.ru;;09:00 - 19:00;10:00 - 17:00;10:00 - 17:00;Да;;3644
"Чита, ООО &quot;Респект ЛТД&quot; ";улица Ингодинская, д. 11;магазин Респект;;"ООО ""Респект ЛТД""";Респект;3022268717;dmitry_respect@mail.ru;dmitry_respect@mail.ru;;10:00 - 19:00;10:00 - 19:00;Выходной;Нет;;3235
"Чита, ООО &quot;Респект ЛТД&quot; ";улица Курнатовского, д. 25, пав. 47;Строит рынок Город Мастеров;;"ООО ""Респект ЛТД""";Респект;3022267484;dmitry_respect@mail.ru;dmitry_respect@mail.ru;;10:00 - 19:00;10:00 - 19:00;10:00 - 19:00;Да;;3235
"Чита, ООО &quot;Респект ЛТД&quot; ";улица Курнатовского, д. 25, пав. 91;Строит рынокГород Мастеров;;"ООО ""Респект ЛТД""";Респект;3022358960;dmitry_respect@mail.ru;dmitry_respect@mail.ru;;10:00 - 19:00;10:00 - 19:00;10:00 - 19:00;Да;;3235
"Чита, ООО &quot;Респект ЛТД&quot; ";улица Чкалова, д. 1А, пав. 11;Строит рынок Стройград пав 11;;"ООО ""Респект ЛТД""";Респект;3022311306;dmitry_respect@mail.ru;dmitry_respect@mail.ru;;10:00 - 19:00;10:00 - 19:00;10:00 - 19:00;Да;;3235
"Чита, ООО &quot;Респект ЛТД&quot; ";улица Вокзальная, д. 3, пав. 32;Строит рынокМегаСтрой пав 32;;"ООО ""Респект ЛТД""";Респект;3022312979;dmitry_respect@mail.ru;dmitry_respect@mail.ru;;10:00 - 19:00;10:00 - 19:00;10:00 - 19:00;Да;;3235
"Чита, ООО &quot;Респект ЛТД&quot; ";мкр. Геофизический, д.27, пав. 12;Строит рынок Солнечный;;"ООО ""Респект ЛТД""";Респект;3022457364;dmitry_respect@mail.ru;dmitry_respect@mail.ru;;10:00 - 19:00;10:00 - 19:00;10:00 - 19:00;Да;;3235
"Москва, &quot;Элит Интерьер&quot;, магазин &quot;Европласт&quot; в ТК &quot;Город - Лефортово&quot; (ИП Алекперов В.Г.) ";"ш. Энтузиастов, д.12/2, ТК ""Город - Лефортово"", 3-й этаж.";"ТК ""Город - Лефортово""";;ИП Алекперов В.Г.;"""Элит Интерьер"", магазин ""Европласт""";9160580011;decorru@yandex.ru;decorru@yandex.ru;www.1decor.ru;10:00 - 22:00;10:00 - 22:00;10:00 - 22:00;Да;;3109
"Актобе, Интерьер-салон &quot;Ар-Деко&quot; (ТОО РИА Престиж) ";ул.Абылхайыр-хана, д.88;;"здание ""Неке Сарайы"", цок.этаж";"ТОО ""Риа Престиж""";"Интерьер-салон ""Ар-Деко""";7058377120;region1@evp.kz;zakaz@evp.kz;;09:00 - 18:00;Выходной;Выходной;Нет;;3691
"Баку, Салон &quot;Elit Interior&quot;, Prospekt Axmeda Radjebli ";улица Prospekt Axmeda Radjebli, 52А;"Салон ""Elit Interior""";;ИП Алекперов В.Г.;"Салон ""Elit Interior""";994552225151;decorru@yandex.ru;decorru@yandex.ru;;;;;Нет;;3287
"Баку, Салон &quot;Elit Interior&quot;, Prospekt Xatai  (ИП Алекперов В.Г.) ";улица Prospekt Xatai, д. 26;"Салон ""Elit Interior""";;ИП Алекперов В.Г.;"Салон ""Elit Interior""";994503556666;decorru@yandex.ru;decorru@yandex.ru;;;;;Нет;;3287
"Кострома, Салон декоративных покрытий &quot;KADORO&quot; ";улица Ерохова, д. 3 «А»;;;ИП Соловьева М.М.;Салон декоративных покрытий KADORO;"4942470282; 9536419338";kadoro-k@mail.ru;;;09:00 - 17:00;Выходной;Выходной;Нет;;3316
"Кострома, Студия дизайна &quot;NeoHouse&quot; ";улица Никитская, д. 15;;;ИП Софронова М.А.;студия дизайна «Neo House»;"4942472581; 4942472582";e.neohouse@list.ru;;;09:00 - 19:00;Выходной;Выходной;Нет;;3316
"Кострома, Отдел керамической плитки &quot;Альфа-Керамика&quot; ";улица Магистральная д. 15, 2 этаж;ТЦ Паново;;ИП Миронова Л.С.;"Отдел керамической плитки ""Альфа-Керамика""";9101924716;alfa-cerama@inbox.ru;;;10:00 - 20:00;10:00 - 20:00;10:00 - 20:00;Да;;3316
"Кострома, Магазин &quot;ЕвроДом&quot; ";улица Советская, д. 109;;;ИП Попова А.Е.;"Магазин-салон ""ЕвроДом""";9 092 545 882;eurodom44@mail.ru;;;09:00 - 18:00;Выходной;Выходной;Нет;;3316
Шарья, (ИП Вешторт Э.Л.) ;улица Ленина, д. 83, этаж 2;ТЦ Каскад;;ИП Вешторт Э.Л.;ИП Вешторт Э.Л.;9109540404;9109540404@mail.ru;lepnina44@gmail.com;;09:00 - 18:00;Выходной;Выходной;Нет;;6150
Мурманск, ООО Декор 51 ;проспект Ленина, д. 27 А;Торговый центр А-Квадрат;центр 1ого этажа, вывеска СтройСтудия;ООО Декор 51;СтройСтудия;"8152690782; 8152690783";stroy-studia@bk.ru;stroy-studia@bk.ru;;11:00 - 19:00;11:00 - 18:00;12:00 - 17:00;Да;;3707
"Пермь, &quot;Декоративка&quot; ТЦ Техас-Строй ";улица Стахановская, д. 54;"ТЦ ""Техас""";;"ЗАО ""Стройинтер""";"""Декоративка""";3422576990;;;;10:00 - 20:00;10:00 - 19:00;10:00 - 18:00;Да;;3182
"Москва, Фирменный салон в ТЦ &quot;Экспострой на Нахимовском&quot; ";Нахимовский пр-т, д. 24, 2 этаж, павильон №3, салон 49/2;"ЦдиИ ""Экспострой на Нахимовском""";;"ООО ""Декор""";"Фирменный салон ""Европласт""";"4951165536; 4951165537";salonn@decor-evroplast.ru;;www.evroplast.ru;10:00 - 20:00;10:00 - 19:00;10:00 - 19:00;Да;;3109
"Москва, Фирменный стенд &quot;Европласт&quot;  ТВК &quot;Экспострой на Нахимовском&quot; ";Нахимовский пр-т, д. 24, 1 этаж, павильон №3, салон 195;"ЦдиИ ""Экспострой на Нахимовском""";;"ООО ""Декор""";"Фирменный салон ""Европласт""";"4951165539; 4951165540";nahim@decor-evroplast.ru;;www.evroplast.ru;10:00 - 20:00;10:00 - 19:00;10:00 - 19:00;Да;;3109
"Москва, Фирменный стенд &quot;Европласт&quot;  ТВК &quot;Экспострой на Нахимовском&quot; ";Нахимовский пр-т, д. 24, 1 этаж, павильон №2, салон 158;"ЦдиИ ""Экспострой на Нахимовском""";;"ООО ""Декор""";"Фирменный стенд ""Европласт""";4951165541;shop@decor-evroplast.ru;;www.evroplast.ru;10:00 - 20:00;10:00 - 19:00;10:00 - 19:00;Да;;3109
"Москва, ООО &quot;Нео-Классик&quot; ТВК &quot;Экспострой на Нахимовском&quot; ";"Нахимовский пр-т, д. 24, строение 2 (1 этаж), Павильон №3, стенд А15; Павильон №3, стенд Е512";ТВК Экспострой;;ООО Нео-Классик;Лепнина;"А15: +7 (495) 116-55-76; 9859239810; Е512: +7 (495) 116-55-74; 4951165575";neo-classik@yandex.ru;;;10:00 - 20:00;10:00-19:00;10:00-19:00;Да;;3109
"Москва,  ТВК &quot;Строй Сити&quot; (ООО &quot;Сити-Декор&quot;) ";"Нахимовский пр-т, д. 24, ТВК ""Строй Сити""  1-ый этаж , пав. Ж-2";"ТВК ""Строй Сити""";;"ООО ""Сити-Декор""";Лепнина;"4959809019; 4956485067";nahim@decolepnina.ru;nahim@decolepnina.ru;www.decolepnina.ru;10:00 - 20:00;10:00 - 19:00;10:00 - 19:00;Да;;3109
НЕТ НАЗВАНИЯ ;;;;;;;;;;;;;Нет;;3152
Альметьевск, Стройклуб (Статус Кво) ;ул.Объездная, д. 27, 1 этаж;магазин;;Статус Кво;Стройклуб;"9872269624; 9872701267";zakaz@evroplast116.ru;zakaz@evroplast116.ru;www.evroplast116.ru;10:00 - 19:00;10:00 - 18:00;Выходной;Нет;;3723
"Набережные Челны, Архитектурный декор &quot;Европласт&quot; (Статус Кво) ";просп. Набережночелнинский, д. 56, подъезд 4, этаж 2;;"Напротив магазина ""Мегастрой"", новый город";Статус Кво;"Архитектурный декор ""Европласт""";"8552366076; 9178702172";Nch366076@yandex.ru;zakaz@evroplast116.ru;www.evroplast116.ru;10:00 - 18:00;10:00 - 16:00;Выходной;Нет;;3329
"Тверь, салон-галерея &quot;Красивые стены&quot; (ООО &quot;ЕВРОПЛАСТ-ТВЕРЬ&quot;) ";ул. Симеоновская, д. 1;"""Правильный дом""";цокольный этаж;"ООО ""ЕВРОПЛАСТ-ТВЕРЬ""";"Салон-галерея ""Красивые Стены""";"4822666969; 9036949911";sv2000ofis@mail.ru;sv2000ofis@mail.ru;cb2000.ru;10:00 - 18:00;10:00 - 18:00;Выходной;Нет;;3729
НЕТ НАЗВАНИЯ ;;;;;;;;;;;;;Нет;;3182
"Брянск, Магазин &quot;Карнавал красок&quot; (ООО &quot;Карнавал Красок&quot;) ";ул. Октябрьская, 42 (1 этаж);;;"ООО ""Карнавал Красок""";"Арт-студия ""Карнавал Красок""";4832749874;dekobryansk@mail.ru;dekobryansk@mail.ru;www.dekobryansk.ru;10:00 - 18:00;10:00 - 15:00;Выходной;Нет;;3118
НЕТ НАЗВАНИЯ ;;;;;;;;;;;;;Нет;;3733
"Домодедово, Палитра (ООО &quot;СТРОЙМАРКЕТПРОФЕССИОНАЛ&quot;) ";г. Домодедово, ул. Кирова, д. 7, корп. 1, 1 этаж;магазин;;"ООО ""СТРОЙМАРКЕТПРОФЕССИОНАЛ""";Палитра;"9257750022; 4997555227";info@planeta-decora.ru;info@planeta-decora.ru;planeta-decora.ru;09:00 - 19:00;10:00-18:00;10:00-18:00;Да;;3109
Петрозаводск, Стилиссимо ;улица М.Горького, д. 23;Салон интерьера Стилиссимо;;"ООО ""Компания Стилиссимо"", ООО «Веал Строй»;";"Салон интерьера «Стилиссимо""";"8142595966; 9217002333";stilissimo10@mail.ru;stilissimo10@mail.ru;www.stilissimo.karelia.ru ;10:00 - 19:00;12:00 - 17:00;Выходной;Нет;;3756
"Омск, Салон &quot;Арт-Декор&quot; ТК &quot;Континент&quot; ";улица 70 лет Октября, д. 25, корп. 4 (2 этаж);"ТК ""Континент""";Строительный Континент;ИП Акулинская Ю.В.;Салон Арт-Декор;3812599600;artdecor-conti@mail.ru;artdecor-kit@mail.ru;artdecor-omsk.ru;10:00 - 21:00;10:00 - 21:00;10:00 - 21:00;Да;;3172
"Нур-Султан (Астана), Салон &quot;Премьера&quot;, TOO Evolution Technologies ";ул.Сембинова, д. 7 (1 этаж);"ЖК ""Хан-Тенгри""";;TOO Evolution Technologies;"Салон ""Премьера""";"7475046424; 7755035043";ast.sales4@evp.kz;ast.sales4@evp.kz;www.premiera.kz;10:00 - 21:00;10:00 - 17:00;Выходной;Нет;;3342
"Стройрынок &quot;Петровский&quot; Новорижское шоссе ";Новорижское шоссе, 9-ый км, Фасадное здание второй этаж;;;ИП Будза С.В.;ИП Будза С.В.;"+7 495 7551379; +7 906 0378109";lyudmila-negru@yandex.ru;info@lepnostyle.ru;www.lepnostyle.ru;;;;Нет;;3109
"Москва, &quot;Сити-декор&quot;, ТК &quot;Люблинское поле&quot; (ИП Валиуллин Р.Н.) ";Тихорецкий бульвар, 1, корпус 5, 1 этаж, павильон № А-146;"Торговый комплекс ""Люблинское поле""";Здание справа от парковки, вход с квадратными оранжевыми столбами. Внутри после павильона с красками повернуть направо. Третий павильон слева.;ИП Валиуллин Р.Н.;CITY-декор;"4954094909; 4957853437";6485664@mail.ru;info@evroplast.online;www.evroplast.online;09:00 - 20:00;09:00 - 20:00;09:00 - 20:00;Да;;3109
Москва, Одинцово, ТЦ АКОС (ИП Новиков Р.В.) ;"Московская обл., Одинцово, ул. Внуковская, 11, (8 км от Мкад по Минскому шоссе, ТЦ ""АКОС""), 1 этаж, пав. 20/5";"ТЦ ""АКОС""";;ИП Новиков Р.В.;Магазин ЛЕПНИНА;"9255094511; 9258961122";lepnina89@mail. ru;lepnina89@mail. ru;www.evroplast-lepnina.ru;09:00 - 18:00;09:00 - 18:00;09:00 - 18:00;Да;;3109
"Калуга, Смеси40 (ООО &quot;ПравСтрой&quot;) ";улица Болотникова, д. 23-А, 1 этаж;База «Смеси40»;;"ООО ""ПравСтрой""";Смеси40;"4842551353; 9109154488";smesi.kaluga@yandex.ru;smesi.kaluga@yandex.ru;;09:00 - 18:30;Выходной;Выходной;Нет;;3143
"Магнитогорск, Салон &quot;Декоратор&quot; ";проспект К. Мракса, д. 210;Торговый центр;Центральный вход и прямо;ИП Козлова Н.Б,;Салон Декоратор;9128086555;decorsalon@gmail.com;decorsalon@gmail.com;;09:00 - 20:00;09:00 - 20:00;09:00 - 20:00;Да;;3161
"Магнитогорск, Салон &quot;Декоратор&quot; ";улица Советская, д. 160а, корп. 2;Торговый центр;Напротив кафетерия;ИП Козлова Н.Б,;Салон Декоратор;79 128 086 555;decorsalon@gmail.com;decorsalon@gmail.com;;09:00 - 19:00;09:00 - 18:00;09:00 - 18:00;Да;;3161
"Пермь, Салон &quot;Декоративка&quot; ТЦ &quot;Парковый&quot; ";улица Трамвайная, д. 33, пав. 2;"ТЦ ""Парковый""";;"ЗАО ""Стройинтер""";"""Декоративка""";3422564110;;;;10:00 - 20:00;10:00 - 19:00;10:00 - 18:00;Да;;3182
"Пермь, Салон &quot;Декоративка&quot; ТЦ &quot;Строймастер&quot; ";улица Ласьвинская, д. 37, пав. 1;"ТЦ ""Строймастер""";;"ЗАО ""Стройинтер""";"""Декоративка""";3422501534;;;;9:00 - 20:00;10:00 - 19:00;10:00 - 18:00;Да;;3182
"Йошкар-Ола, Декор Марий Эл, ТЦ &quot;Бау Маркет&quot; ";"улица Соловьева, д. 22 ""А""";"ТЦ ""Бау Маркет""";ТЦ Бау Маркет;ИП Нестеров А.В.;Декор Марий Эл;"8362326956; 9177045749";decor-mariel@mail.ru;decor-mariel@mail.ru;;09:00-20:00;09:00-18:00;Выходной;Нет;;3772
"Сыктывкар, Интерьерный салон &quot;ДекоГрафф&quot; (ИП Шабалин А.Е.) ";улица Свободы, д.35/75;0;Пересечение улиц Свободы и Интернациональной;ИП Шабалин А.Е.;"Интерьерный салон ""ДекоГрафф""";"8212300169; 9222719970";dekograff@mail.ru;dekograff@mail.ru;;10:00 - 18:00;10:00 - 16:00;Выходной;Нет;;3830
"Калининград, Салон &quot;Dom&Decor&quot; (ООО Скандинавская Мебель, ИП В.А. Федоров) ";Гвардейский проспект, д. 15, 1 этаж;здание «Союзгазавтоматика»;;"ООО ""Скандинавская Мебель"", ИП В.А. Федоров";Dom&Decor;"4012576175; 9632924835";salon2@dom-decor.com;salon2@dom-decor.com;dom-decor.com;10:00 - 19:00;11:00 - 18:00;Выходной;Нет;;3138
Тула, Магазин ЛЕПНИНА  (И.П. Новиков Р.В.) ;ул. Коминтерна, д. 24 Д, корпус 2, этаж 2, пав. 217;"ТЦ ""Наш дом"" 2";;И.П. Новиков Р.В.;Магазин ЛЕПНИНА;"9255094511; 9207448366; 9255060319";lepnina89@mail.ru;lepnina89@mail.ru;www.europlast-lepnina.ru;09:00 - 18:00;09:00 - 18:00;09:00 - 18:00;Да;;3217
"Самара, ООО &quot;Форрум&quot; ";улица Гая, д. 36, 1 этаж;;;"ООО ""Форрум""";магазин-склад FORROOM;8462029772;;;;9:00 - 19:00;Выходной;Выходной;Нет;;3192
"Москва, ТЦ &quot;Три Кита&quot; (ИП Филиппова К.О.) ";"Минское шоссе, ул. Луговая д.1, ТЦ ""Три Кита"", бутик №25";"ТЦ ""Три Кита""";;ИП Филиппова К.О.;"Бутик №25 в ТЦ ""Три Кита""";"4957803713; 9161928615";filippova.trikita@mail.ru;ekaterina@decogracia.ru;decogracia.ru;10:00 - 21:00;10:00 - 21:00;10:00 - 21:00;Да;;3109
Вильнюс, ЗАО Европластас (Europlastas UAB) ;Vilnius, S. Žukausko g.4;Салон лепнины Европласт;;Europlastas  /  Европластас;Europlastas  /  Европластас;"37067821777; 37060219556";europlastas@gmail.com;europlastas@gmail.com;www.europlastas.com;10:00 - 18:00;10:00 - 15:00;Выходной;Нет;;3841
"Курган, ТЦ &quot;Пушкинский&quot;, Салон &quot;AP-DEKO&quot; ";улица Пушкина, д. 25 (2 этаж), образцы, витрина;ТЦ Пушкинский;слева от центрального входа;ИП Кисeлева Л.С.;"Салон интерьера ""АP-DEKO""";"3522600689; 9129797408";ar-deco2010@mail.ru;info@evroplast-ekaterinburg.ru;ар-деко45.рф;10:00 - 19:00;10:00 - 19:00;Выходной;Нет;;3481
"Грозный, Салон-магазин &quot;Декор&quot; (ИП Виситаев) ";улица Автурханова, д. 26;;;ИП Виситаев;"салон-магазин ""Декор""";"9280028487; 9288984850";sanke@rambler.ru;info@lepidecor.ru;www.lepidecor.ru;09:00 - 18:00;09:00 - 18:00;09:00 - 18:00;Да;;3127
"Гудермес, Офис-склад &quot;Декор&quot; (ИП Виситаев) ";"г. Гудермес, Трасса Ростов-Баку, Трасса М29 ""Кавказ"" напротив АЗС Башлам";;Широта: 43°20?10.16?N (43.336155) Долгота: 46°6?34.25?E (46.109514);ИП Виситаев;"офис-склад ""Декор""";"9280028487; 9289656462";sanke@rambler.ru;info@lepidecor.ru;www.lepidecor.ru;08:00 - 18:00;08:00 - 18:00;08:00 - 18:00;Да;;6119
Вологда, Салон декора Европласт (ИП Николенко Е.М.) ;улица Сергея Преминина, д. 10, 1 этаж;ТЦ Омега;Отдельный вход с левого торца;ИП Николенко Е.М.;Салон декора Европласт;"8172713096; 9814376535";evroplast.35@mail.ru;evroplast.35@mail.ru;;10:00 - 18:00;Выходной;Выходной;Нет;;3304
"Москва, Архитектурный декор-Фрески в ТК &quot;Конструктор&quot; (ИП Алекперов В.Г.) ";"25км МКАД, внешняя сторона, ТК ""Конструктор"", павильон П 2-15";"ТК ""Конструктор""";;ИП Алекперов В.Г.;Архитектурный декор-Фрески;"9268429960; 9251340354";decorru@yandex.ru;decorru@yandex.ru;www.1decor.ru;10:00 - 21:00;10:00 - 21:00;10:00 - 21:00;Да;;3109
Южно-Сахалинск, Азимут (ИП Иванов Е.А.) ;ул. Ленина, д. 254, корп.1;ТЦ Галерея;;ИП Иванов Е.А.;Азимут;4242500707;;interiorsalonsakh@gmail.com;;10:00 - 19:00;Выходной;Выходной;Нет;;6132
"Симферополь, Салон &quot;Элит Дом&quot; (ООО &quot;Элит Дом&quot;) ";пер. Сторожевой / Евпаторийское шоссе , д. 1/3, жилой дом, этаж 1;;;"ООО ""Элит Дом""";"салон ""Элит Дом""";"3652563266; 9788562233";elitdom@ukr.net;ofic.elitdom@mail.ru;www.vita-color.ru;09:00 - 18:00;Выходной;Выходной;Нет;;6142
"Симферополь, Салон &quot;Oikos&quot; (ООО &quot;Элит Дом&quot;) ";улица Киевская, д. 179, жилой дом, офис №2;;;"ООО ""Элит Дом""";"салон ""Oikos""";9787333255;oikos-crimea@ro.ru;ofic.elitdom@mail.ru;www.vita-color.ru;09:00 - 18:00;Выходной;Выходной;Нет;;6142
"Симферополь, Салон &quot;Spiver&quot; (ООО &quot;Элит Дом&quot;) ";улица Киевская, д. 179-Б, жилой дом, офис № 3-4;;;"ООО ""Элит Дом""";"салон ""Spiver""";9788562244;ofic.elitdom@mail.ru;ofic.elitdom@mail.ru;www.vita-color.ru;09:00 - 18:00;Выходной;Выходной;Нет;;6142
"Курск, Салон-магазин &quot;Ремотделка&quot; (ИП Матвиенко В.В.) ";проспект Победы, д. 26, 1 этаж;Салон декоративных покрытий Ремотделка;;ИП Матвиенко В.В.;ООО Ремотделка;"4712397722; 4712397723";info@remotdel-ka.ru;sasin@remotdel-ka.ru;www.remotdel-ka.ru;09:00 - 18:00;10:00 - 17:00;10:00 - 15:00;Да;;3154
"Киев, БЦ &quot;Аполло&quot; (ООО &quot;Украинский дом декора&quot;) ";ул. Здолбуновская, 7 (4-й этаж);;;"ООО ""Украинский дом декора""";;"+38044 499 81 07; +38067 505 53 49";info@udd.com.ua;info@udd.com.ua;www.udd.com.ua;;;;Нет;;3251
"Москва, Торговый комплекс &quot;Центр дизайна &quot;Ленинградский&quot; (ИП Будза С.В.) ";Ленинградское шоссе, д. 25, этаж 2, стенд 1 ;"Торговый комплекс ""Центр дизайна Ленинградский""";Центр дизайна Ленинградский;ИП Будза С.В.;;"89060378109; 89035844334";info@lepnostyle.ru;info@lepnostyle.ru;www.lepnostyle.ru;10:00 - 21:00;10:00 - 21:00;10:00 - 21:00;Да;;3109
"Москва, ТК &quot;Конструктор&quot; (ИП Будза С.В.) ";"МКАД (25км) Торговый комплес ""Конструктор"" (Вторая линия), павильон № Б 2.7";ТК Конструктор;;ИП Будза С.В.;Б2.7;"89671206399; 89035844334";info@lepnostyle.ru;info@lepnostyle.ru;www.lepnostyle.ru;10:00 - 21:00;10:00 - 21:00;10:00 - 21:00;Да;;3109
"Москва, Строительный двор &quot;Петровский&quot; (ИП Будза С.В.) ";"Новорижского шоссе, 9км, в сторону Николо-Урюпино, Поздняково. Строительный двор ""Петровский"", павильон № А9";Строительный двор Петровский ;;ИП Будза С.В.;А9;"89037179913; 89035844334";info@lepnostyle.ru;info@lepnostyle.ru;www.lepnostyle.ru;09:00 - 18:00;09:00 - 18:00;09:00 - 18:00;Да;;3109
Московская обл., Подольск, Мир Керамики и Лепнины (ИП Бабурина Н.В.) ;г. Подольск, ул. Большая Серпуховская, 229Б, подъезд 1-2-3, 1 этаж;ТЦ Елисаветинский;;ИП Бабурина Н.В.;"Магазин ""Мир Керамики и Лепнины""";"9267532532; 9671214723";aghenii71@mail.ru;plitka7783939@mail.ru;;09:00 - 20:00;09:00 - 20:00;09:00 - 20:00;Да;;3109
"Санкт-Петербург, Piterra Василеостровкий (ООО &quot;Питерра&quot;) ";ул. Железноводская, д. 3, 1 этаж, секция 86;Строймаркет «Василеостровский»;;"ООО ""Питерра""";PITERRA;"8124383940; доб. 704,705,706";shop@piterra.ru;shop@piterra.ru;www.piterra.ru;10:00 - 20:00;10:00 - 20:00;10:00 - 20:00;Да;;3196
"Москва, Салон &quot;PITERRA&quot; (МЦ &quot;Roomer&quot;) ";Ленинская Слобода, д. 26;отдельный салон;;ООО ПИТЕРРА;PITERRA;"4957776685; доб. 371, 372, 347   ";6909999@piterra.ru;shop@piterra.ru;www.piterra.ru;10:00 - 20:00;10:00 - 20:00;10:00 - 20:00;Да;;3109
"Благовещенск , Cалон-магазин интерьерных решений &quot;Deкор&quot; ";ул.Октябрьская, 130;;;"ООО ""Декор""";"Cалон-магазин интерьерных решений ""Deкор""";"+7 416 2771377; +7 416 2213939";dekordeluxe@bk.ru;dekordeluxe@bk.ru;;;;;Нет;;6191
Великий Новгород, Салон «38 ПРЕДЛОЖЕНИЙ» (ИП Вакурова Л.М.) ;улица Псковская, д. 29, стенд 1;Собственное встроенное помещение;;ИП Вакурова Л.М.;Салон «38 ПРЕДЛОЖЕНИЙ»;9116075445;salon38@mail.ru;38pr@mail.ru;38pr.ru;10:00 - 20:00;10:00 - 20:00;10:00 - 18:00;Да;;3299
Казань, Декор - Европласт (Статус Кво) ;улица Горсоветская д. 33, 1 этаж;магазин-склад;Декор-Европласт;Статус Кво;Декор - Европласт;"9872263355; 9872701267";zakaz@evroplast116.ru;zakaz@evroplast116.ru;www.evroplast116.ru;09:00 - 19:00;10:00 - 18:00;Выходной;Нет;;3260
Смоленск, Европласт (ООО «Артхолл плюс») ;улица Маршала Жукова, д. 9;;;ООО «Артхолл плюс»;Малярный центр «Деруфа»,  салон «Европласт»;"4812388700; 9036496383";derufa-smolensk@yandex.ru;derufa-smolensk@yandex.ru;derufa-sm.ru;10:00 - 19:00;10:00 - 18:00;Выходной;Нет;;3338
Кострома, Компания «Измерение» ;улица Шагова, д. 61 «А»;;;ИП Захаркина В.В.;Компания «Измерение»;4942456600;zakaz@newizmerenie.ru;;;09:00 - 18:00;10:00 - 15:00;Выходной;Нет;;3316
