IE_XML_ID;IE_NAME;IP_PROP101;IP_PROP169;IP_PROP170;IP_PROP103;IP_PROP104;IP_PROP105;IP_PROP106;IP_PROP107;IP_PROP108;IP_PROP171;IP_PROP537;IP_PROP113
3646;"Ханты-Мансийск, Магазин &quot;Еврострой&quot; (ООО &quot;ИНТЕРЬЕР+ &quot; Чащилова) ";улица Чехова, д. 82, (1, 2 этаж);"Магазин ""Еврострой""";;"ООО ""ИНТЕРЬЕР+ """;"Магазин ""Еврострой""";"3467928306; 9527000117";interplus86@mail.ru;interplus86@mail.ru;;09:00 - 19:00;;3644
3649;"Чита, ООО &quot;Респект ЛТД&quot; ";улица Ингодинская, д. 11;магазин Респект;;"ООО ""Респект ЛТД""";Респект;3022268717;dmitry_respect@mail.ru;dmitry_respect@mail.ru;;10:00 - 19:00;;3235
3650;"Чита, ООО &quot;Респект ЛТД&quot; ";улица Курнатовского, д. 25, пав. 47;Строит рынок Город Мастеров;;"ООО ""Респект ЛТД""";Респект;3022267484;dmitry_respect@mail.ru;dmitry_respect@mail.ru;;10:00 - 19:00;;3235
3651;"Чита, ООО &quot;Респект ЛТД&quot; ";улица Курнатовского, д. 25, пав. 91;Строит рынокГород Мастеров;;"ООО ""Респект ЛТД""";Респект;3022358960;dmitry_respect@mail.ru;dmitry_respect@mail.ru;;10:00 - 19:00;;3235
3652;"Чита, ООО &quot;Респект ЛТД&quot; ";улица Чкалова, д. 1А, пав. 11;Строит рынок Стройград пав 11;;"ООО ""Респект ЛТД""";Респект;3022311306;dmitry_respect@mail.ru;dmitry_respect@mail.ru;;10:00 - 19:00;;3235
3653;"Чита, ООО &quot;Респект ЛТД&quot; ";улица Вокзальная, д. 3, пав. 32;Строит рынокМегаСтрой пав 32;;"ООО ""Респект ЛТД""";Респект;3022312979;dmitry_respect@mail.ru;dmitry_respect@mail.ru;;10:00 - 19:00;;3235
3654;"Чита, ООО &quot;Респект ЛТД&quot; ";мкр. Геофизический, д.27, пав. 12;Строит рынок Солнечный;;"ООО ""Респект ЛТД""";Респект;3022457364;dmitry_respect@mail.ru;dmitry_respect@mail.ru;;10:00 - 19:00;;3235
3675;"Москва, &quot;Элит Интерьер&quot;, магазин &quot;Европласт&quot; в ТК &quot;Город - Лефортово&quot; (ИП Алекперов В.Г.) ";"ш. Энтузиастов, д.12/2, ТК ""Город - Лефортово"", 3-й этаж.";"ТК ""Город - Лефортово""";;ИП Алекперов В.Г.;"""Элит Интерьер"", магазин ""Европласт""";9160580011;decorru@yandex.ru;decorru@yandex.ru;www.1decor.ru;10:00 - 22:00;;3109
3692;"Актобе, Интерьер-салон &quot;Ар-Деко&quot; (ТОО РИА Престиж) ";ул.Абылхайыр-хана, д.88;;"здание ""Неке Сарайы"", цок.этаж";"ТОО ""Риа Престиж""";"Интерьер-салон ""Ар-Деко""";7058377120;region1@evp.kz;zakaz@evp.kz;;09:00 - 18:00;;3691
3694;"Баку, Салон &quot;Elit Interior&quot;, Prospekt Axmeda Radjebli ";улица Prospekt Axmeda Radjebli, 52А;"Салон ""Elit Interior""";;ИП Алекперов В.Г.;"Салон ""Elit Interior""";994552225151;decorru@yandex.ru;decorru@yandex.ru;;;;3287
3695;"Баку, Салон &quot;Elit Interior&quot;, Prospekt Xatai  (ИП Алекперов В.Г.) ";улица Prospekt Xatai, д. 26;"Салон ""Elit Interior""";;ИП Алекперов В.Г.;"Салон ""Elit Interior""";994503556666;decorru@yandex.ru;decorru@yandex.ru;;;;3287
3699;"Кострома, Салон декоративных покрытий &quot;KADORO&quot; ";улица Ерохова, д. 3 «А»;;;ИП Соловьева М.М.;Салон декоративных покрытий KADORO;"4942470282; 9536419338";kadoro-k@mail.ru;;;09:00 - 17:00;;3316
3700;"Кострома, Студия дизайна &quot;NeoHouse&quot; ";улица Никитская, д. 15;;;ИП Софронова М.А.;студия дизайна «Neo House»;"4942472581; 4942472582";e.neohouse@list.ru;;;09:00 - 19:00;;3316
3702;"Кострома, Отдел керамической плитки &quot;Альфа-Керамика&quot; ";улица Магистральная д. 15, 2 этаж;ТЦ Паново;;ИП Миронова Л.С.;"Отдел керамической плитки ""Альфа-Керамика""";9101924716;alfa-cerama@inbox.ru;;;10:00 - 20:00;;3316
3703;"Кострома, Магазин &quot;ЕвроДом&quot; ";улица Советская, д. 109;;;ИП Попова А.Е.;"Магазин-салон ""ЕвроДом""";9 092 545 882;eurodom44@mail.ru;;;09:00 - 18:00;;3316
3705;Шарья, (ИП Вешторт Э.Л.) ;улица Ленина, д. 83, этаж 2;ТЦ Каскад;;ИП Вешторт Э.Л.;ИП Вешторт Э.Л.;9109540404;9109540404@mail.ru;lepnina44@gmail.com;;09:00 - 18:00;;6150
3708;Мурманск, ООО Декор 51 ;проспект Ленина, д. 27 А;Торговый центр А-Квадрат;центр 1ого этажа, вывеска СтройСтудия;ООО Декор 51;СтройСтудия;"8152690782; 8152690783";stroy-studia@bk.ru;stroy-studia@bk.ru;;11:00 - 19:00;;3707
3710;"Пермь, &quot;Декоративка&quot; ТЦ Техас-Строй ";улица Стахановская, д. 54;"ТЦ ""Техас""";;"ЗАО ""Стройинтер""";"""Декоративка""";3422576990;;;;10:00 - 20:00;;3182
3714;"Москва, Фирменный салон в ТЦ &quot;Экспострой на Нахимовском&quot; ";Нахимовский пр-т, д. 24, 2 этаж, павильон №3, салон 49/2;"ЦдиИ ""Экспострой на Нахимовском""";;"ООО ""Декор""";"Фирменный салон ""Европласт""";"4951165536; 4951165537";salonn@decor-evroplast.ru;;www.evroplast.ru;10:00 - 20:00;;3109
3715;"Москва, Фирменный стенд &quot;Европласт&quot;  ТВК &quot;Экспострой на Нахимовском&quot; ";Нахимовский пр-т, д. 24, 1 этаж, павильон №3, салон 195;"ЦдиИ ""Экспострой на Нахимовском""";;"ООО ""Декор""";"Фирменный салон ""Европласт""";"4951165539; 4951165540";nahim@decor-evroplast.ru;;www.evroplast.ru;10:00 - 20:00;;3109
3716;"Москва, Фирменный стенд &quot;Европласт&quot;  ТВК &quot;Экспострой на Нахимовском&quot; ";Нахимовский пр-т, д. 24, 1 этаж, павильон №2, салон 158;"ЦдиИ ""Экспострой на Нахимовском""";;"ООО ""Декор""";"Фирменный стенд ""Европласт""";4951165541;shop@decor-evroplast.ru;;www.evroplast.ru;10:00 - 20:00;;3109
3717;"Москва, ООО &quot;Нео-Классик&quot; ТВК &quot;Экспострой на Нахимовском&quot; ";"Нахимовский пр-т, д. 24, строение 2 (1 этаж), Павильон №3, стенд А15; Павильон №3, стенд Е512";ТВК Экспострой;;ООО Нео-Классик;Лепнина;"А15: +7 (495) 116-55-76; 9859239810; Е512: +7 (495) 116-55-74; 4951165575";neo-classik@yandex.ru;;;10:00 - 20:00;;3109
3719;"Москва,  ТВК &quot;Строй Сити&quot; (ООО &quot;Сити-Декор&quot;) ";"Нахимовский пр-т, д. 24, ТВК ""Строй Сити""  1-ый этаж , пав. Ж-2";"ТВК ""Строй Сити""";;"ООО ""Сити-Декор""";Лепнина;"4959809019; 4956485067";nahim@decolepnina.ru;nahim@decolepnina.ru;www.decolepnina.ru;10:00 - 20:00;;3109
3722;НЕТ НАЗВАНИЯ ;;;;;;;;;;;;3152
3724;Альметьевск, Стройклуб (Статус Кво) ;ул.Объездная, д. 27, 1 этаж;магазин;;Статус Кво;Стройклуб;"9872269624; 9872701267";zakaz@evroplast116.ru;zakaz@evroplast116.ru;www.evroplast116.ru;10:00 - 19:00;;3723
3725;"Набережные Челны, Архитектурный декор &quot;Европласт&quot; (Статус Кво) ";просп. Набережночелнинский, д. 56, подъезд 4, этаж 2;;"Напротив магазина ""Мегастрой"", новый город";Статус Кво;"Архитектурный декор ""Европласт""";"8552366076; 9178702172";Nch366076@yandex.ru;zakaz@evroplast116.ru;www.evroplast116.ru;10:00 - 18:00;;3329
3730;"Тверь, Интерьер центр &quot;HOME DECOR&quot; (ООО &quot;ЕВРОПЛАСТ-ТВЕРЬ&quot;) ";ул. Симеоновская, д. 1;;;"ООО ""ЕВРОПЛАСТ-ТВЕРЬ""";"Интерьер центр ""HOME DECOR""";"4822666969; 9036949911";sv2000ofis@mail.ru;sv2000ofis@mail.ru;evroplastt.ru;10:00 - 18:00;;3729
3731;НЕТ НАЗВАНИЯ ;;;;;;;;;;;;3182
3732;"Брянск, Магазин &quot;Карнавал красок&quot; (ООО &quot;Карнавал Красок&quot;) ";ул. Октябрьская, 42 (1 этаж);;;"ООО ""Карнавал Красок""";"Арт-студия ""Карнавал Красок""";4832749874;dekobryansk@mail.ru;dekobryansk@mail.ru;www.dekobryansk.ru;10:00 - 18:00;;3118
3735;НЕТ НАЗВАНИЯ ;;;;;;;;;;;;3733
3736;"Домодедово, Палитра (ООО &quot;СТРОЙМАРКЕТПРОФЕССИОНАЛ&quot;) ";г. Домодедово, ул. Кирова, д. 7, корп. 1, 1 этаж;магазин;;"ООО ""СТРОЙМАРКЕТПРОФЕССИОНАЛ""";Палитра;"9257750022; 4997555227";info@planeta-decora.ru;info@planeta-decora.ru;planeta-decora.ru;09:00 - 19:00;;3109
3737;Петрозаводск, Стилиссимо ;улица М.Горького, д. 23;Салон интерьера Стилиссимо;;"ООО ""Компания Стилиссимо"", ООО «Веал Строй»;";"Салон интерьера «Стилиссимо""";"8142595966; 9217002333";stilissimo10@mail.ru;stilissimo10@mail.ru;www.stilissimo.karelia.ru ;10:00 - 19:00;;3756
3739;"Омск, Салон &quot;Арт-Декор&quot; ТК &quot;Континент&quot; ";улица 70 лет Октября, д. 25, корп. 4 (2 этаж);"ТК ""Континент""";Строительный Континент;ИП Акулинская Ю.В.;Салон Арт-Декор;3812599600;artdecor-conti@mail.ru;artdecor-kit@mail.ru;artdecor-omsk.ru;10:00 - 21:00;;3172
3740;"Нур-Султан (Астана), Салон &quot;Премьера&quot;, TOO Evolution Technologies ";ул.Сембинова, д. 7 (1 этаж);"ЖК ""Хан-Тенгри""";;TOO Evolution Technologies;"Салон ""Премьера""";"7475046424; 7755035043";ast.sales4@evp.kz;ast.sales4@evp.kz;www.premiera.kz;10:00 - 21:00;;3342
3742;"Стройрынок &quot;Петровский&quot; Новорижское шоссе ";Новорижское шоссе, 9-ый км, Фасадное здание второй этаж;;;ИП Будза С.В.;ИП Будза С.В.;"+7 495 7551379; +7 906 0378109";lyudmila-negru@yandex.ru;info@lepnostyle.ru;www.lepnostyle.ru;;;3109
3744;"Москва, &quot;Сити-декор&quot;, ТК &quot;Люблинское поле&quot; (ИП Валиуллин Р.Н.) ";Тихорецкий бульвар, 1, корпус 5, 1 этаж, павильон № А-146;"Торговый комплекс ""Люблинское поле""";Здание справа от парковки, вход с квадратными оранжевыми столбами. Внутри после павильона с красками повернуть направо. Третий павильон слева.;ИП Валиуллин Р.Н.;CITY-декор;"4954094909; 4957853437";6485664@mail.ru;info@evroplast.online;www.evroplast.online;09:00 - 20:00;;3109
3748;Москва, Одинцово, ТЦ АКОС (ИП Новиков Р.В.) ;"Московская обл., Одинцово, ул. Внуковская, 11, (8 км от Мкад по Минскому шоссе, ТЦ ""АКОС""), 1 этаж, пав. 20/5";"ТЦ ""АКОС""";;ИП Новиков Р.В.;Магазин ЛЕПНИНА;"9255094511; 9258961122";lepnina89@mail. ru;lepnina89@mail. ru;www.evroplast-lepnina.ru;09:00 - 18:00;;3109
3749;"Калуга, Смеси40 (ООО &quot;ПравСтрой&quot;) ";Грабцевское шоссе, 4Б, пав. 136;Центральный Городской Рынок Калуги. Оптовая компания «Смеси40», Шоурум+склад;;"ООО ""ПравСтрой""";«Смеси40»;"4842551353; 9107075717";smesi.kaluga@yandex.ru;smesi.kaluga@yandex.ru;smesi40.ru;09:00 - 18:00;;3143
3752;"Магнитогорск, Салон &quot;Декоратор&quot; (ИП Козлова Н.Б.) ";улица Советская, д. 160а, корп. 2, пав. 256;Торговый центр СтройДвор;Напротив кафетерия;ИП Козлова Н.Б.;Салон Декоратор;9128051260;ldsalon@mail.ru;ldsalon@mail.ru;;09:00 - 19:00;;3161
3754;"Пермь, Салон &quot;Декоративка&quot; ТЦ &quot;Парковый&quot; ";улица Трамвайная, д. 33, пав. 2;"ТЦ ""Парковый""";;"ЗАО ""Стройинтер""";"""Декоративка""";3422564110;;;;10:00 - 20:00;;3182
3755;"Пермь, Салон &quot;Декоративка&quot; ТЦ &quot;Строймастер&quot; ";улица Ласьвинская, д. 37, пав. 1;"ТЦ ""Строймастер""";;"ЗАО ""Стройинтер""";"""Декоративка""";3422501534;;;;9:00 - 20:00;;3182
3773;Йошкар-Ола, Декор Марий Эл, ИП Нестеров А.В. ;улица Панфилова, д. 39, офис 106;;;ИП Нестеров А.В.;Декор Марий Эл;"8362326956; 9177045749";decor-mariel@mail.ru;decor-mariel@mail.ru;;09:00-20:00;;3772
3831;"Сыктывкар, Интерьерный салон &quot;ДекоГрафф&quot; (ИП Шабалин А.Е.) ";улица Свободы, д.35/75;0;Пересечение улиц Свободы и Интернациональной;ИП Шабалин А.Е.;"Интерьерный салон ""ДекоГрафф""";"8212300169; 9222719970";dekograff@mail.ru;dekograff@mail.ru;;10:00 - 18:00;;3830
3834;"Калининград, Салон &quot;Dom&Decor&quot; (ООО Скандинавская Мебель, ИП В.А. Федоров) ";Гвардейский проспект, д. 15, 1 этаж;здание «Союзгазавтоматика»;;"ООО ""Скандинавская Мебель"", ИП В.А. Федоров";Dom&Decor;"4012576175; 9632924835";salon2@dom-decor.com;salon2@dom-decor.com;dom-decor.com;10:00 - 19:00;;3138
3835;Тула, Магазин ЛЕПНИНА  (И.П. Новиков Р.В.) ;ул. Коминтерна, д. 24 Д, корпус 2, этаж 2, пав. 217;"ТЦ ""Наш дом"" 2";;И.П. Новиков Р.В.;Магазин ЛЕПНИНА;"9255094511; 9207448366; 9255060319";lepnina89@mail.ru;lepnina89@mail.ru;www.europlast-lepnina.ru;09:00 - 18:00;;3217
3836;"Самара, ООО &quot;Форрум&quot; ";улица Гая, д. 36, 1 этаж;;;"ООО ""Форрум""";магазин-склад FORROOM;8462029772;;;;9:00 - 19:00;;3192
3837;"Москва, ТЦ &quot;Три Кита&quot; (ИП Филиппова К.О.) ";"Минское шоссе, ул. Луговая д.1, ТЦ ""Три Кита"", бутик №25";"ТЦ ""Три Кита""";;ИП Филиппова К.О.;"Бутик №25 в ТЦ ""Три Кита""";"4957803713; 9161928615";filippova.trikita@mail.ru;ekaterina@decogracia.ru;decogracia.ru;10:00 - 21:00;;3109
3842;Вильнюс, ЗАО Европластас (Europlastas UAB) ;Vilnius, S. Žukausko g.4;Салон лепнины Европласт;;Europlastas  /  Европластас;Europlastas  /  Европластас;"37067821777; 37060219556";europlastas@gmail.com;europlastas@gmail.com;www.europlastas.com;10:00 - 18:00;;3841
3843;"Курган, ТЦ &quot;Пушкинский&quot;, Салон &quot;AP-DEKO&quot; ";улица Пушкина, д. 25 (2 этаж), образцы, витрина;ТЦ Пушкинский;слева от центрального входа;ИП Кисeлева Л.С.;"Салон интерьера ""АP-DEKO""";"3522600689; 9129797408";ar-deco2010@mail.ru;info@evroplast-ekaterinburg.ru;ар-деко45.рф;10:00 - 19:00;;3481
6118;"Грозный, Салон-магазин &quot;Декор&quot; (ИП Виситаев) ";улица Автурханова, д. 26;;;ИП Виситаев;"салон-магазин ""Декор""";"9280028487; 9288984850";sanke@rambler.ru;info@lepidecor.ru;www.lepidecor.ru;09:00 - 18:00;;3127
6121;"Гудермес, Офис-склад &quot;Декор&quot; (ИП Виситаев) ";"г. Гудермес, Трасса Ростов-Баку, Трасса М29 ""Кавказ"" напротив АЗС Башлам";;Широта: 43°20?10.16?N (43.336155) Долгота: 46°6?34.25?E (46.109514);ИП Виситаев;"офис-склад ""Декор""";"9280028487; 9289656462";sanke@rambler.ru;info@lepidecor.ru;www.lepidecor.ru;08:00 - 18:00;;6119
6122;Вологда, Салон декора Европласт (ИП Николенко Е.М.) ;улица Сергея Преминина, д. 10, 1 этаж;ТЦ Омега;Отдельный вход с левого торца;ИП Николенко Е.М.;Салон декора Европласт;"8172713096; 9814376535";evroplast.35@mail.ru;evroplast.35@mail.ru;;10:00 - 18:00;;3304
6129;"Москва, Архитектурный декор-Фрески в ТК &quot;Конструктор&quot; (ИП Алекперов В.Г.) ";"25км МКАД, внешняя сторона, ТК ""Конструктор"", павильон П 2-15";"ТК ""Конструктор""";;ИП Алекперов В.Г.;Архитектурный декор-Фрески;"9268429960; 9251340354";decorru@yandex.ru;decorru@yandex.ru;www.1decor.ru;10:00 - 21:00;;3109
6134;Южно-Сахалинск, Азимут (ИП Иванов Е.А.) ;ул. Ленина, д. 254, корп.1;ТЦ Галерея;;ИП Иванов Е.А.;Азимут;4242500707;;interiorsalonsakh@gmail.com;;10:00 - 19:00;;6132
6141;"Симферополь, Салон &quot;Элит Дом&quot; (ООО &quot;Элит Дом&quot;) ";пер. Сторожевой / Евпаторийское шоссе , д. 1/3, жилой дом, этаж 1;;;"ООО ""Элит Дом""";"салон ""Элит Дом""";"3652563266; 9788562233";elitdom@ukr.net;ofic.elitdom@mail.ru;www.vita-color.ru;09:00 - 18:00;;6142
6143;"Симферополь, Салон &quot;Oikos&quot; (ООО &quot;Элит Дом&quot;) ";улица Киевская, д. 179, жилой дом, офис №2;;;"ООО ""Элит Дом""";"салон ""Oikos""";9787333255;oikos-crimea@ro.ru;ofic.elitdom@mail.ru;www.vita-color.ru;09:00 - 18:00;;6142
6144;"Симферополь, Салон &quot;Spiver&quot; (ООО &quot;Элит Дом&quot;) ";улица Киевская, д. 179-Б, жилой дом, офис № 3-4;;;"ООО ""Элит Дом""";"салон ""Spiver""";9788562244;ofic.elitdom@mail.ru;ofic.elitdom@mail.ru;www.vita-color.ru;09:00 - 18:00;;6142
6146;"Курск, Салон-магазин &quot;Ремотделка&quot; (ИП Матвиенко В.В.) ";проспект Победы, д. 26, 1 этаж;Салон декоративных покрытий Ремотделка;;ИП Матвиенко В.В.;ООО Ремотделка;"4712397722; 4712397723";info@remotdel-ka.ru;sasin@remotdel-ka.ru;www.remotdel-ka.ru;09:00 - 18:00;;3154
6149;"Киев, БЦ &quot;Аполло&quot; (ООО &quot;Украинский дом декора&quot;) ";ул. Здолбуновская, 7 (4-й этаж);;;"ООО ""Украинский дом декора""";;"+38044 499 81 07; +38067 505 53 49";info@udd.com.ua;info@udd.com.ua;www.udd.com.ua;;;3251
6151;"Москва, Торговый комплекс &quot;Центр дизайна &quot;Ленинградский&quot; (ИП Будза С.В.) ";Ленинградское шоссе, д. 25, этаж 2, стенд 1 ;"Торговый комплекс ""Центр дизайна Ленинградский""";Центр дизайна Ленинградский;ИП Будза С.В.;;"89060378109; 89035844334";info@lepnostyle.ru;info@lepnostyle.ru;www.lepnostyle.ru;10:00 - 21:00;;3109
6152;"Москва, ТК &quot;Конструктор&quot; (ИП Будза С.В.) ";"МКАД (25км) Торговый комплес ""Конструктор"" (Вторая линия), павильон № Б 2.7";ТК Конструктор;;ИП Будза С.В.;Б2.7;"89671206399; 89035844334";info@lepnostyle.ru;info@lepnostyle.ru;www.lepnostyle.ru;10:00 - 21:00;;3109
6153;"Москва, Строительный двор &quot;Петровский&quot; (ИП Будза С.В.) ";"Новорижского шоссе, 9км, в сторону Николо-Урюпино, Поздняково. Строительный двор ""Петровский"", павильон № А9";Строительный двор Петровский ;;ИП Будза С.В.;А9;"89037179913; 89035844334";info@lepnostyle.ru;info@lepnostyle.ru;www.lepnostyle.ru;09:00 - 18:00;;3109
6155;Московская обл., Подольск, Мир Керамики и Лепнины (ИП Бабурина Н.В.) ;г. Подольск, ул. Большая Серпуховская, 229Б, подъезд 1-2-3, 1 этаж;ТЦ Елисаветинский;;ИП Бабурина Н.В.;"Магазин ""Мир Керамики и Лепнины""";"9267532532; 9671214723";aghenii71@mail.ru;plitka7783939@mail.ru;;09:00 - 20:00;;3109
6163;"Санкт-Петербург, Piterra Василеостровкий (ООО &quot;Питерра&quot;) ";ул. Железноводская, д. 3, 1 этаж, секция 86;Строймаркет «Василеостровский»;;;PITERRA;8007070167;shop@piterra.ru;shop@piterra.ru;www.piterra.ru;10:00 - 20:00;;3196
6192;"Благовещенск , Cалон-магазин интерьерных решений &quot;Deкор&quot; ";ул.Октябрьская, 130;;;"ООО ""Декор""";"Cалон-магазин интерьерных решений ""Deкор""";"+7 416 2771377; +7 416 2213939";dekordeluxe@bk.ru;dekordeluxe@bk.ru;;;;6191
6203;Великий Новгород, Салон «38 ПРЕДЛОЖЕНИЙ» (ИП Вакурова Л.М.) ;улица Псковская, д. 29, стенд 1;Собственное встроенное помещение;;ИП Вакурова Л.М.;Салон «38 ПРЕДЛОЖЕНИЙ»;9116075445;salon38@mail.ru;38pr@mail.ru;38pr.ru;10:00 - 20:00;;3299
6204;Казань, Декор - Европласт (Статус Кво) ;улица Горсоветская д. 33, 1 этаж;магазин-склад;Декор-Европласт;Статус Кво;Декор - Европласт;"9872263355; 9872701267";zakaz@evroplast116.ru;zakaz@evroplast116.ru;www.evroplast116.ru;09:00 - 19:00;;3260
6209;Смоленск, Европласт (ООО «Артхолл плюс») ;улица Маршала Жукова, д. 9;;;ООО «Артхолл плюс»;Малярный центр «Деруфа»,  салон «Европласт»;"4812388700; 9036496383";derufa-smolensk@yandex.ru;derufa-smolensk@yandex.ru;derufa-sm.ru;10:00 - 19:00;;3338
6232;Кострома, Компания «Измерение» ;улица Шагова, д. 61 «А»;;;ИП Захаркина В.В.;Компания «Измерение»;4942456600;zakaz@newizmerenie.ru;;;09:00 - 18:00;;3316
6234;"Красноярск, Интерьерный салон &quot;Палладио&quot; ";улица Молокова, д. 28, этаж 1;;;ИП Жижина Н.И.;"Интерьерный салон ""Палладио""";3912918618;baroccokrs@mail.ru;baroccokrs@mail.ru;palladio24.ru;10:00 - 19:00;;3152
6237;Курск, Оптово - розничный склад Ремотделка ;улица Павлуновского, д. 133, стр. 1 и 2;Оптово - розничный склад Ремотделка;;ИП Матвиенко В.В.;ООО Ремотделка;9102138285;info@remotdel-ka.ru;sasin@remotdel-ka.ru;www.remotdel-ka.ru;09:00 - 17:00;;3154
6241;"Липецк, Салон &quot;Novita&quot;, ИП Костин ";улица Заводская площадь, д. 1 ;;"Мебельный салон ""Юнион""";ИП Костин;"Салон ""Novita""";9042979702;;ardekor@rambler.ru;;;;3331
6242;"Липецк, Декор-Студия &quot;Кардинал&quot;, ИП Вострикова ";улица Нововесовая, д. 24;;;ИП Вострикова;"Декор-Студия ""Кардинал""";9103523676;;ardekor@rambler.ru;;;;3331
6243;Липецк, ИП Шицько ;улица 50 лет НЛМК, стр. 17;Петровский рынок;;ИП Шицько;Петровский рынок, Торговый павильон № 353;9042983449;;ardekor@rambler.ru;;08:30 - 15:30;;3331
6254;"Пермь, ТЦ &quot;Радуга&quot;, ЗАО &quot;Стройинтер&quot; ";улица 1-я Красноармейская, д. 8, пав. 2;"ТЦ ""Радуга""";;"ЗАО ""Стройинтер""";"""Декоративка""";3422152434;;;;10:00 - 21:00;;3182
6255;"Пермь, ТЦ &quot;Красивый Дом&quot;, ЗАО &quot;Стройинтер&quot; ";улица Соликамская, д. 313а, пав. 1;"ТЦ ""Красивый Дом""";;"ЗАО ""Стройинтер""";"""Декоративка""";3422009146;;;;09:00 - 20:00;;3182
6256;Псков, ИП Александров улица Л. Поземского ;улица Л. Поземского, д. 92, пав. 1;Строительный рынок на Алмазной;;ИП Александров;;9062217117;;;;09:00 - 18:00;;3318
6257;"Псков, ООО &quot;Пристань&quot; улица Л. Поземского ";улица Л. Поземского, д. 92, пав. 28;Строительный рынок на Алмазной;;"ООО ""Пристань""";;9062205225;;;;09:00 - 18:00;;3318
6260;Уфа, Лепной Декор (ИП Розет А.Р.) ;Менделеева, д. 137, к.4, 1 этаж, бутик 2;"Торговый комплекс ""Новая Радуга""";напротив эскалатора,  линия обои;ИП Розет А.Р.;бутик лепной декор;"3472927328; 9373250157";andrey.rozet@mail.ru;rozetufa@gmail.com;;10:00 - 20:00;;3223
6264;"Дербент, ООО &quot;ДЖЭН&quot; ";улица Гагарина, д. 101а;;;"ООО ""ДЖЭН""";"ООО ""ДЖЭН""";8724043437;firmadjen05@gmail.com;info@lepidecor.ru;www.lepidecor.ru; 08:00 - 18:00;;6263
6266;"Махачкала, ООО &quot;ДЖЭН&quot; ";улица Гамидова, д. 3а, цокольный этаж;;;"ООО ""ДЖЭН""";"ООО ""ДЖЭН""";"8722673635; 8722610988";firmadjen05@gmail.com;info@lepidecor.ru;www.lepidecor.ru;08:00 - 18:00;;6265
6267;"Махачкала, ДЦ &quot;Daniela villa Design&quot; ";улица Дахадаева, д. 58, 2 этаж;;;"ДЦ ""Daniela villa Design""";"ДЦ ""Daniela villa Design""";"9187344800; 9674002533";dvdesign@bk.ru;info@lepidecor.ru;www.lepidecor.ru;10:00 - 19:00;;6265
6273;"Якутск, ИП Чугунов Д.Г. &quot;Дом обоев 44&quot; ";ул. Автострада 50 лет Октября, д. 1;;;ИП Чугунов Д.Г.;"""Дом обоев 44""";9248652344;dom_oboev_44@mail.ru;dom_oboev_44@mail.ru;;10:00 - 18:00;;3239
6276;"Абакан, &quot;ЗОДЧИЕ&quot; на  Кирова (ИП Рожков С.Б.) ";улица Кирова, д. 112, этаж 1;;;ИП Рожков С.Б.;"""Зодчие""";3902287711;ninazodchi@mail.ru;ninazodchi@mail.ru;;10:00 - 19:00;;3255
6284;Самара, магазин-склад FORROOM ;18 км Московского шоссе, цокольный этаж;СТК Московский;;ООО Форрум;магазин-склад FORROOM;9023757576;;;;9:00 - 19:00;;3192
6294;"Сургут, Салон &quot;Архитектурный Декор&quot;, проспект Мира ";проспект Мира, д. 44/2;"Салон ""Архитектурный декор""";;"ООО ТК ""Архитектурный декор"" ИП Чащилов А.П.";"салон ""Архитектурный декор""";3462940040;galant379075@mail.ru;galant379075@mail.ru;www.decor-ad.ru;09:00 - 19:00;;3209
6295;"Тюмень, склад-магазин &quot;Архитектурный декор&quot; ";улица Д.Бедного, д. 96, стр. 6, 1 этаж;Склад г.Тюмень;;"ООО ТК ""Архитектурный декор""   ";"склад-магазин ""Архитектурный декор""";3452390125;sklad_galant@mail.ru;;www.decor-ad.ru;09:00 - 18:00;;3220
6306;"Нефтеюганск, Магазин &quot;Art-Décor&quot; ";улица Набережная, д. 16;"Магазин ""Art-Décor""";;Сукиасян Артур Людвикович Индивидуальный предприниматель;"Магазин ""Art-Décor""";"3463220935; 3463222066";artur231087@ya.ru;artur231087@ya.ru;;09:00 - 19:00;;6305
6314;"Чита, ООО &quot;Респект ЛТД&quot; ";мкр. Геофизический, д.27, пав. 7;Строит рынок Солнечный;;"ООО ""Респект ЛТД""";Респект;3022457364;dmitry_respect@mail.ru;dmitry_respect@mail.ru;;10:00 - 19:00;;3235
6315;Чита, Магазин Респект , центральный склад ;улица Инструментальная, д. 1А;Магазин Респект , центральный склад;;"ООО ""Респект ЛТД""";Респект;3022203398;dmitry_respect@mail.ru;dmitry_respect@mail.ru;;10:00 - 19:00;;3235
6316;"Иваново, Декор-центр &quot;Арагон&quot; ";улица Крутицкая, д.14а, 1 этаж;"Декор-центр ""Арагон""";;"ООО ""Декор Коллекция""";"Декор-центр ""Арагон""";"4932580208; 9631529618";aragondeco@mail.ru;aragondeco@mail.ru;www.aragondeco.ru;10:00 - 19:00;;3131
6317;Якутск, ИП Васильева Е.В. ;улица Жорницкого, д. 35, этаж 3, пав. 307, стенд 2;"ТВК ""Строительный""";;ИП Васильева Е.В.;"""Антураж""";9142714112;Anturazh_ykt@mail.ru;Anturazh_ykt@mail.ru;;10:00 - 18:00;;3239
