IE_XML_ID;IE_NAME;IP_PROP101;IP_PROP169;IP_PROP170;IP_PROP103;IP_PROP104;IP_PROP105;IP_PROP106;IP_PROP107;IP_PROP108;IP_PROP171;IP_PROP172;IP_PROP173;IP_PROP175;IP_PROP113
3514;"Москва, Строительная ярмарка ""41 км"" (ИП Цыбулева Е.И.)";44 км. МКАД (внешняя сторона) пересечение Профсоюзной ул. и МКАД, павильоны А 11/2, А 28/2, А 45/2, БВ-8, БВ-28/2, БВ-11/1, Г-7/3, З-7/8, И 12/5, НБ-78, НС13/14, ВТ-1, ТЦ Карусель;"Строительный рынок ""Славянский мир""";;ИП Цыбулева Е.И.;Дом Лепнины;9015194020;cue1977@mail.ru;;;08:30 - 18:30;09:00 - 18:00;09:00 - 18:00;;3109
3516;"Москва, ТЦ ""ЭлитСтрой материалы"" (ИП Налбантов И.А.)";"51 км МКАД, разв. ""Очаково-Заречье"", стр.2,  павильон № С-31, В-6";"ТЦ ""ЭлитСтрой материалы""";;ИП Налбантов И.А.;Лепные Декоры ;84957107949;7853505@mail.ru;7853505@mail.ru;www.mstyle.su;10:00 - 18:00;10:00 - 18:00;10:00 - 18:00;;3109
3518;Мытищи, Дом-декора (ИП Кулебякина Т.В.);г. Мытищи, Олимпийский пр-т, д. 29, корпус 1, этаж 1 (цокольный);"ТЦ ""Формат""";;ИП Кулебякина Т.В.;Дом-декора;"4955850042; 9859633728";tatiana16.11.08@mail.ru;tatiana16.11.08@mail.ru;www.dom-dekora.ru;10:00 - 21:00;10:00 - 21:00;10:00 - 21:00;;3109
3523;"Нижний Тагил, Салон ""DERUFA""";ул. Карла Маркса, д.63а, 1 этаж (инсталяция);Салон магазин;;"ООО ""Деруфа Минерикс НТ""";Салон DERUFA;"3435410225; 9049845659";dekor-nt@rambler.ru;info@evroplast-ekaterinburg.ru ;в работе;09:00 - 18:00;10:00 - 14:00;Выходной;;3522
3548;Орск, Миал;проспект Ленина, д. 45;Миал-Орск;;ИП Швабенланд Л.Г.;Миал-Орск;"3537236818; 3537211623";mial-orsk@mail.ru;oksana-gubajdullina@yandex.ru;viva-design56;10:00 - 19:00;10:00 - 19:00;Выходной;;3547
3566;Рязань, Новые обои (ИП Рыбаков А.Ю.);улица Дзержинского, д. 59;Салон Новые обои;;ИП Рыбаков А.Ю.;Салон Новые обои;4912966465;salon-oboev@mail.ru;salon-oboev@mail.ru;;10:00 - 19:00;10:00 - 18:00;10:00 - 18:00;;3189
3571;"Рязань, Салон ""Эстет"" (ИП Ковригин А.В.)";улица Горького, д. 30;Салон Эстет;;"Салон ""Эстет""";ИП Ковригин А.В.;4912253878;estet-r@yandex.ru;estet-r@yandex.ru;;10:00 - 19:00;10:00 - 17:00;10:00 - 15:00;;3189
3589;"Санкт-Петербург, Салон Piterra Home (ООО ""Питерра"")";ул. Уральская, д. 13;отдельный салон;;ООО ПИТЕРРА;PITERRA HOME;8123191319;3212522@piterrahome.ru;shop@piterra.ru ;www.piterra.ru;10:00 - 20:00;10:00 - 18:00;10:00 - 18:00;;3196
3609;Тамбов, ИП Дудник И.П.;улица Советская, д. 191 А;;;ИП Дудник И.П.;ИП Дудник И.П.;89106528893;;;;09:00 - 18:00;09:00 - 18:00;09:00 - 18:00;;3211
3611;"Тамбов, Салон ""Декорация"" (ИП Егорова З.Р.)";улица Интернациональная, д. 30 А, этаж 2;Площадь Ленина;Налево в красную дверь;ИП Егорова З.Р.;Салон Декорация;9107527525;décor.tmb@mail.ru;décor.tmb@mail.ru;;09:00 - 18:00;Выходной;Выходной;;3211
3613;Тамбов, Строй Град;улица Киквидзе, д. 69 Б;;;Строй Град;Строй Град;89158680070;;;;09:00 - 18:00;09:00 - 15:00;09:00 - 15:00;;3211
3614;"Тамбов, ТД ""Интерьер""";улица Коммунальная, д. 21 А;рынок;;"ТД ""Интерьер""";Обои Русь;84752713032;;;;09:00 - 18:00;09:00 - 18:00;09:00 - 18:00;;3211
3615;"Тамбов, Магазин ""Decobuilt""";улица Мичуринская, д. 215;;;"Магазин ""Decobuilt""";"Магазин ""Decobuilt""";89204772222;;;;09:00 - 18:00;Выходной;Выходной;;3211
3617;"Тобольск, Магазин ""Уют""";переулок Рощинский, д. 68;"""Уют"" магазин товаров для ремонта";;ИП Дергоусов Сергей Владимирович;"""Уют""";"3456240773; 34562241970";svet-krep@mail.ru;svet-krep@mail.ru;;09:00 - 19:00;09:00 - 19:00;09:00 - 19:00;;3616
3622;"Томск, салон ""Идея Ремонта""";ул. Советская, д. 108;"Салон ""Идея Ремонта""";;"ООО Торговый Дом ""Европласт-Сибирь""";"салон ""Идея Ремонта""";"3822530130; 9833496667";romantika2020@gmail.com;romantika2020@gmail.com;decoline.su;10:00 - 19:00;11:00 - 15:00;Выходной;;3215
3640;"Тюмень, Салон ""Архитектурный Декор"" в ТЦ ""Премьер Дом""";улица Мельникайте, д.104, 1 этаж;"ТЦ ""Премьер Дом""";;"1. ИП Усынина А.Т.; 2. ООО ТК ""Архитектурный декор""";"Салон ""Архитектурный декор""";3452595409;galant-pd@mail.ru;galant-pd@mail.ru;www.decor-ad.ru;10:00 - 20:00;10:00 - 20:00;10:00 - 20:00;;3220
3641;"Тюмень, Салон ""Архитектурный Декор"" в ТЦ ""Орион""";улица Федюнинского, д. 43, 1 этаж;"ТЦ ""Орион""";;"1. ИП Усынина  А.Т.; 2. ООО ТК ""Архитектурный декор""";"Салон ""Архитектурный декор""";3452546226;546226-orion@mail.ru;546226-orion@mail.ru;www.decor-ad.ru;10:00 - 21:00;10:00 - 21:00;10:00 - 21:00;;3220
3642;"Тюмень, ул. 50 лет ВЛКСМ, 13, салон ""Архитектурный декор"" ";улица 50 лет ВЛКСМ, д. 13, цокольный этаж;;;"1. ИП Усынина А.Т.; 2. ООО ТК ""Архитектурный декор""";"Салон ""Архитектурный декор"" ";"3452595746; 3452595745";galla-opt@decor-ad.ru;galla595745@mail.ru;www.decor-ad.ru;09:00 - 19:00;10:00 - 18:00;10:00 - 18:00;;3220
3643;"Улан-Удэ, Гипермаркет ""СМИТ""";улица Жердева, д. 8а;"Гипермаркет ""СМИТ""";;ИП Доржиев Г.Ю.;"""СМИТ""";3012297800;kaporskaya@smit.stbur.ru;smitbur@mail.ru;tgsmit.ru;10:00 - 19:00;10:00 - 19:00;10:00 - 19:00;;3275
3645;"Ханты-Мансийск, Салон интерьера ""Декор Стайл""";ул. Чехова, д. 82, 1 этаж;"Салон интерьера ""Декор Стайл""";;ИП Иванов Руслан Александрович;"салон интерьера ""Декор Стайл""";"3467394500; 3467337755";decorst@mail.ru;decorst@mail.ru;;09.00 - 19.00;10.00 - 17.00;10.00 - 17.00;;3644
3646;"Ханты-Мансийск, Магазин ""Еврострой"" (ООО ""ДОМ ОБОЕВ"")";улица Чехова, д. 82;"Магазин ""Еврострой""";;"ООО ""ДОМ ОБОЕВ""";"Магазин ""Еврострой""";"3467328509; 9224004023";e-s-04@mail.ru;e-s-04@mail.ru;;10:00 - 20:00;10:00 - 20:00;10:00 - 20:00;;3644
3649;"Чита, ООО ""Респект ЛТД""";улица Ингодинская, д. 11;магазин Респект;;"ООО ""Респект ЛТД""";Респект;3022268717;dmitry_respect@mail.ru;dmitry_respect@mail.ru;;10:00 - 19:00;10:00 - 19:00;Выходной;;3235
3650;"Чита, ООО ""Респект ЛТД""";улица Курнатовского, д. 25, пав. 47;Строит рынок Город Мастеров;;"ООО ""Респект ЛТД""";Респект;3022267484;dmitry_respect@mail.ru;dmitry_respect@mail.ru;;10:00 - 19:00;10:00 - 19:00;10:00 - 19:00;;3235
3651;"Чита, ООО ""Респект ЛТД""";улица Курнатовского, д. 25, пав. 91;Строит рынокГород Мастеров;;"ООО ""Респект ЛТД""";Респект;3022358960;dmitry_respect@mail.ru;dmitry_respect@mail.ru;;10:00 - 19:00;10:00 - 19:00;10:00 - 19:00;;3235
3652;"Чита, ООО ""Респект ЛТД""";улица Чкалова, д. 1А, пав. 11;Строит рынок Стройград пав 11;;"ООО ""Респект ЛТД""";Респект;3022311306;dmitry_respect@mail.ru;dmitry_respect@mail.ru;;10:00 - 19:00;10:00 - 19:00;10:00 - 19:00;;3235
3653;"Чита, ООО ""Респект ЛТД""";улица Вокзальная, д. 3, пав. 32;Строит рынокМегаСтрой пав 32;;"ООО ""Респект ЛТД""";Респект;3022312979;dmitry_respect@mail.ru;dmitry_respect@mail.ru;;10:00 - 19:00;10:00 - 19:00;10:00 - 19:00;;3235
3654;"Чита, ООО ""Респект ЛТД""";мкр. Геофизический, д.27, пав. 12;Строит рынок Солнечный;;"ООО ""Респект ЛТД""";Респект;3022457364;dmitry_respect@mail.ru;dmitry_respect@mail.ru;;10:00 - 19:00;10:00 - 19:00;10:00 - 19:00;;3235
3675;"Москва, ""Элит Интерьер"", магазин ""Европласт"" в ТК ""Город - Лефортово"" (ИП Алекперов В.Г.)";"ш. Энтузиастов, д.12/2, ТК ""Город - Лефортово"", 3-й этаж.";"ТК ""Город - Лефортово""";;ИП Алекперов В.Г.;"""Элит Интерьер"", магазин ""Европласт""";9160580011; decorru@yandex.ru; decorru@yandex.ru;www.1decor.ru;10:00 - 22:00;10:00 - 22:00;10:00 - 22:00;;3109
3690;Уральск, ТОО Арт Декор Уральск;улица Айтиева, д. 68 (1 этаж);Бизнес Центр;р-н Горвоенкомат;ТОО Арт Декор Уральск;Арт Декор;"7112541166; 7055143307";;zakaz.evokz@mail.ru;;09:00 - 18:00;09:00 - 18:00;Выходной;;3689
3692;Актобе, ТОО РИА Престиж;проспект А.Молдагуловой, 58Б-1 (девятиэтажное здание);Жилой дом;Поворот напротив гипермаркета Метро, не доезжая АЗС Sinoil, район ОблГАИ;ТОО РИА Престиж;Салон АртДекор;"7473667471; 7782695668; 7132559451";;zakaz.evokz@mail.ru;artdekor.kz;09:00 - 18:00;09:00 - 18:00;Выходной;;3691
3694;"Баку, Салон ""Elit Interior"", Prospekt Axmeda Radjebli";улица Prospekt Axmeda Radjebli, 52А;"Салон ""Elit Interior""";;ИП Алекперов В.Г.;"Салон ""Elit Interior""";994552225151;decorru@yandex.ru;decorru@yandex.ru;;;;;;3287
3695;"Баку, Салон ""Elit Interior"", Prospekt Xatai  (ИП Алекперов В.Г.)";улица Prospekt Xatai, д. 26;"Салон ""Elit Interior""";;ИП Алекперов В.Г.;"Салон ""Elit Interior""";994503556666;decorru@yandex.ru;decorru@yandex.ru;;;;;;3287
3699;"Кострома, Салон декоративных покрытий ""KADORO""";улица Ерохова, д. 3 «А»;;;ИП Соловьева М.М.;Салон декоративных покрытий KADORO;"4942470282; 9536419338";kadoro-k@mail.ru;;;09:00 - 17:00;Выходной;Выходной;;3316
3700;"Кострома, Студия дизайна ""NeoHouse""";улица Никитская, д. 15;;;ИП Софронова М.А.;студия дизайна «Neo House»;"4942472581; 4942472582";e.neohouse@list.ru;;;09:00 - 19:00;Выходной;Выходной;;3316
3702;"Кострома, Отдел керамической плитки ""Альфа-Керамика""";улица Магистральная д. 15, 2 этаж;ТЦ Паново;;ИП Миронова Л.С.;"Отдел керамической плитки ""Альфа-Керамика""";9101924716;alfa-cerama@inbox.ru;;;10:00 - 20:00;10:00 - 20:00;10:00 - 20:00;;3316
3703;"Кострома, Магазин ""ЕвроДом""";улица Советская, д. 109;;;ИП Попова А.Е.;"Магазин-салон ""ЕвроДом""";9 092 545 882;eurodom44@mail.ru;;;09:00 - 18:00;Выходной;Выходной;;3316
3705;Шарья, (ИП Вешторт Э.Л.);улица Ленина, д. 83, этаж 2;ТЦ Каскад;;ИП Вешторт Э.Л.;ИП Вешторт Э.Л.;9109540404;9109540404@mail.ru;lepnina44@gmail.com;;09:00 - 18:00;Выходной;Выходной;;6150
3708;Мурманск, ООО Декор 51;проспект Ленина, д. 27 А;Торговый центр А-Квадрат;центр 1ого этажа, вывеска СтройСтудия;ООО Декор 51;СтройСтудия;"8152690782; 8152690783";stroy-studia@bk.ru;stroy-studia@bk.ru;;11:00 - 19:00;11:00 - 18:00;12:00 - 17:00;;3707
3710;"Пермь, ""Декоративка"" ТЦ Техас-Строй";улица Стахановская, д. 54;"ТЦ ""Техас""";;"ЗАО ""Стройинтер""";"""Декоративка""";3422576990;;;;10:00 - 20:00;10:00 - 19:00;10:00 - 18:00;;3182
3714;"Москва, Фирменный салон в ТЦ ""Экспострой на Нахимовском""";Нахимовский пр-т, д. 24, 2 этаж, павильон №3, салон 49/2;"ЦдиИ ""Экспострой на Нахимовском""";;"ООО ""Декор""";"Фирменный салон ""Европласт""";"4951165536; 4951165537";salonn@decor-evroplast.ru;;www.evroplast.ru;10:00 - 20:00;10:00 - 19:00;10:00 - 19:00;;3109
3715;"Москва, Фирменный стенд ""Европласт""  ТВК ""Экспострой на Нахимовском""";Нахимовский пр-т, д. 24, 1 этаж, павильон №3, салон 195;"ЦдиИ ""Экспострой на Нахимовском""";;"ООО ""Декор""";"Фирменный салон ""Европласт""";"4951165539; 4951165540";nahim@decor-evroplast.ru;;www.evroplast.ru;10:00 - 20:00;10:00 - 19:00;10:00 - 19:00;;3109
3716;"Москва, Фирменный стенд ""Европласт""  ТВК ""Экспострой на Нахимовском""";Нахимовский пр-т, д. 24, 1 этаж, павильон №2, салон 158;"ЦдиИ ""Экспострой на Нахимовском""";;"ООО ""Декор""";"Фирменный стенд ""Европласт""";4951165541;shop@decor-evroplast.ru;;www.evroplast.ru;10:00 - 20:00;10:00 - 19:00;10:00 - 19:00;;3109
3717;"Москва, ООО ""Нео-Классик"" ТВК ""Экспострой на Нахимовском""";"Нахимовский пр-т, д. 24, строение 2 (1 этаж), Павильон №3, стенд А15; Павильон №3, стенд Е512";ТВК Экспострой;;ООО Нео-Классик;Лепнина;"А15: +7 (495) 116-55-76; 9859239810; Е512: +7 (495) 116-55-74; 4951165575";neo-classik@yandex.ru;;;10:00 - 20:00;10:00-19:00;10:00-19:00;;3109
3719;"Москва,  ТВК ""Строй Сити"" (ООО ""Сити-Декор"")";"Нахимовский пр-т, д. 24, ТВК ""Строй Сити""  1-ый этаж , пав. Ж-2";"ТВК ""Строй Сити""";;"ООО ""Сити-Декор""";Лепнина;"4959809019; 4956485067";nahim@decolepnina.ru;nahim@decolepnina.ru;www.decolepnina.ru;10:00 - 20:00;10:00 - 19:00;10:00 - 19:00;;3109
3721;"Москва, Салон ""PITERRA"" ТВК ""Экспострой""";Нахимовский проспект, д.24, павильон 3, этаж 1, стенд 504/1;"Торгово-выставочный комплекс ""Экспострой""";;ООО ПИТЕРРА;PITERRA;"4957776685; доб. 383,388";383@piterra.ru;shop@piterra.ru;www.piterra.ru;10:00 - 20:00;10:00 - 19:00;10:00 - 19:00;;3109
3722;НЕТ НАЗВАНИЯ;;;;;;;;;;;;;;3152
3724;"Альметьевск, Архитектурный декор ""Европласт"" (Статус Кво)";улица Ленина, д. 27, 1 этаж;магазин;;Статус Кво;"Архитектурный декор ""Европласт""";"8553354530; 9874170889";A354530@yandex.ru;zakaz@evroplast116.ru;www.evroplast116.ru;10:00 - 19:00;10:00 - 18:00;Выходной;;3723
3725;"Набережные Челны, Архитектурный декор ""Европласт"" (Статус Кво)";просп. Набережночелнинский, д. 56, подъезд 4, этаж 2;;"Напротив магазина ""Мегастрой"", новый город";Статус Кво;"Архитектурный декор ""Европласт""";"8552366076; 9178702172";Nch366076@yandex.ru;zakaz@evroplast116.ru;www.evroplast116.ru;10:00 - 18:00;10:00 - 16:00;Выходной;;3329
3730;"Тверь, салон-галерея ""Красивые стены"" (ООО ""ЕВРОПЛАСТ-ТВЕРЬ"")";ул. Симеоновская, д. 1;"""Правильный дом""";цокольный этаж;"ООО ""ЕВРОПЛАСТ-ТВЕРЬ""";"Салон-галерея ""Красивые Стены""";"4822666969; 9036949911";sv2000ofis@mail.ru;sv2000ofis@mail.ru;cb2000.ru;10:00 - 18:00;10:00 - 18:00;Выходной;;3729
3731;НЕТ НАЗВАНИЯ;;;;;;;;;;;;;;3182
3732;"Брянск, Магазин ""Карнавал красок"" (ООО ""Карнавал Красок"")";улица Октябрьская 42;;;"ООО ""Карнавал Красок""";"Арт-студия ""Карнавал Красок""";"4832599441; 4832749874";dekobryansk@mail.ru;dekobryansk@mail.ru;www.dekobryansk.ru;10:00 - 18:00;10:00 - 15:00;Выходной;;3118
3735;НЕТ НАЗВАНИЯ;;;;;;;;;;;;;;3733
3736;"Домодедово, Палитра (ООО ""СТРОЙМАРКЕТПРОФЕССИОНАЛ"")";г. Домодедово, ул. Кирова, д. 7, корп. 1, 1 этаж;магазин;;"ООО ""СТРОЙМАРКЕТПРОФЕССИОНАЛ""";Палитра;"9257750022; 4997555227";info@planeta-decora.ru;info@planeta-decora.ru;planeta-decora.ru;09:00 - 19:00;10:00-18:00;10:00-18:00;;3109
3737;Петрозаводск, ул. М. Горького, д. 23;улица М.Горького, д. 23;Салон интерьера Стилиссимо;;"ООО ""Компания Стилиссимо"", ООО «Веал Строй»;";"Салон интерьера «Стилиссимо""";"8142595966; 8142595922";stilissimo10@mail.ru;stilissimo10@mail.ru;;10:00 - 19:00;12:00 - 17:00;Выходной;;3756
3739;"Омск, Салон ""Арт-Декор"" ТК ""Континент""";улица 70 лет Октября, д. 25, корп. 4 (2 этаж);"ТК ""Континент""";Строительный Континент;ИП Акулинская Ю.В.;Салон Арт-Декор;3812599600;artdecor-conti@mail.ru;artdecor-kit@mail.ru;artdecor-int.ru;10:00 - 21:00;10:00 - 21:00;10:00 - 21:00;;3172
3740;"Астана, Салон ""Премьера"", TOO Evolution Technologies";ул.Сембинова, д. 7 (1 этаж);Магазин;;TOO Evolution Technologies;"Салон ""Премьера""";"7172523875; 7475046424";info@evp.kz;ast.sales@evp.kz;www.premiera.kz;10:00 - 19:00;10:00 - 17:00;Выходной;;3342
3742;"Стройрынок ""Петровский"" Новорижское шоссе";Новорижское шоссе, 9-ый км, Фасадное здание второй этаж;;;ИП Будза С.В.;ИП Будза С.В.;"+7 495 7551379; +7 906 0378109";lyudmila-negru@yandex.ru;info@lepnostyle.ru;www.lepnostyle.ru;;;;;3109
3744;"Москва, ""Сити-декор"", ТК ""Люблинское поле"" (ИП Валиуллин Р.Н.)";"Тихорецкий бульвар, 1, ТК ""Люблинское поле"", павильон № О-146";"Торговый комплекс ""Люблинское поле""";;ИП Валиуллин Р.Н.;CITY-декор;"4957853437; 4956485664";6485664@mail.ru;6485664@mail.ru;www.lepnina-online.ru;09:00 - 20:00;09:00 - 20:00;09:00 - 20:00;;3109
3748;Москва, Одинцово, ТЦ АКОС (ИП Новиков Р.В.);"Московская обл., Одинцово, ул. Внуковская, 11, (8 км от Мкад по Минскому шоссе, ТЦ ""АКОС""), 1 этаж, пав. 20/5";"ТЦ ""АКОС""";;ИП Новиков Р.В.;Магазин ЛЕПНИНА;"9255094511; 9258961122";lepnina89@mail. ru;lepnina89@mail. ru;www.evroplast-lepnina.ru;09:00 - 18:00;09:00 - 18:00;09:00 - 18:00;;3109
3749;"Калуга, ТК ""Домострой""";улица Болотникова, д. 23-А, стенд 4;"Торговый комплекс ""Домострой""";;"ООО ""Стройотделка""";"ООО ""Стройотделка""";"4842551353; 9109154488";"sergej.nizov@yandex.ru; stroyhimtorg@gmail.com";sergej.nizov@yandex.ru;;09:00 - 19:00;09:00 - 17:00;09:00 - 17:00;;3143
3750;"Калуга, ТК ""Домострой плюс""";Правобережный проезд, д. 9, стенд 6;"Торговый комплекс ""Домострой плюс""";;"ООО ""Правстрой""";"ООО ""Правстрой""";"4842276296; 9109154488";"sergej.nizov@yandex.ru; stroyhimtorg@gmail.com";sergej.nizov@yandex.ru;;09:00 - 19:00;09:00 - 18:00;09:00 - 18:00;;3143
3751;"Магнитогорск, Салон ""Декоратор""";проспект К. Мракса, д. 210;Торговый центр;Центральный вход и прямо;ИП Козлова Н.Б,;Салон Декоратор;9128086555;decorsalon@gmail.com;decorsalon@gmail.com;;09:00 - 20:00;09:00 - 20:00;09:00 - 20:00;;3161
3752;"Магнитогорск, Салон ""Декоратор""";улица Советская, д. 160а, корп. 2;Торговый центр;Напротив кафетерия;ИП Козлова Н.Б,;Салон Декоратор;79 128 086 555;decorsalon@gmail.com;decorsalon@gmail.com;;09:00 - 19:00;09:00 - 18:00;09:00 - 18:00;;3161
3754;"Пермь, Салон ""Декоративка"" ТЦ ""Парковый""";улица Трамвайная, д. 33, пав. 2;"ТЦ ""Парковый""";;"ЗАО ""Стройинтер""";"""Декоративка""";3422564110;;;;10:00 - 20:00;10:00 - 19:00;10:00 - 18:00;;3182
3755;"Пермь, Салон ""Декоративка"" ТЦ ""Строймастер""";улица Ласьвинская, д. 37, пав. 1;"ТЦ ""Строймастер""";;"ЗАО ""Стройинтер""";"""Декоративка""";3422501534;;;;9:00 - 20:00;10:00 - 19:00;10:00 - 18:00;;3182
3773;"Йошкар-Ола, Декор Марий Эл, ТЦ ""Бау Маркет""";"улица Соловьева, д. 22 ""А""";"ТЦ ""Бау Маркет""";ТЦ Бау Маркет;ИП Нестеров А.В.;Декор Марий Эл;"8362326956; 9177045749";decor-mariel@mail.ru;decor-mariel@mail.ru;;09:00-20:00;09:00-18:00;Выходной;;3772
3831;"Сыктывкар, Интерьерный салон ""ДекоГрафф"" (ИП Шабалин А.Е.)";улица Свободы, д.35/75;0;Пересечение улиц Свободы и Интернациональной;ИП Шабалин А.Е.;"Интерьерный салон ""ДекоГрафф""";"8212300169; 9222719970";dekograff@mail.ru;dekograff@mail.ru;;10:00 - 18:00;10:00 - 16:00;Выходной;;3830
3834;"Калининград, Салон ""Dom&Decor"" (ООО Скандинавская Мебель, ИП В.А. Федоров)";Гвардейский проспект, д. 15, 1 этаж;здание «Союзгазавтоматика»;;"ООО ""Скандинавская Мебель"", ИП В.А. Федоров";Dom&Decor;"4012576175; 9632924835";salon2@dom-decor.com;salon2@dom-decor.com;dom-decor.com;10:00 - 19:00;11:00 - 18:00;Выходной;;3138
3835;Тула, Магазин ЛЕПНИНА  (И.П. Новиков Р.В.);ул. Коминтерна, д. 24 Д, корпус 2, этаж 2, пав. 217;"ТЦ ""Наш дом"" 2";;И.П. Новиков Р.В.;Магазин ЛЕПНИНА;"9255094511; 9207448366; 9255060319";lepnina89@mail.ru;lepnina89@mail.ru;www.europlast-lepnina.ru;09:00 - 18:00;09:00 - 18:00;09:00 - 18:00;;3217
3836;"Самара, ООО ""Форрум""";улица Гая, д. 36, 1 этаж;;;ООО Форрум;магазин-склад FORROOM;8462029772;;;;9:00 - 19:00;Выходной;Выходной;;3192
3837;"Москва, ТЦ ""Три Кита"" (ИП Филиппова К.О.)";"Минское шоссе, ул. Луговая д.1, ТЦ ""Три Кита"", бутик №25";"ТЦ ""Три Кита""";;ИП Филиппова К.О.;"Бутик №25 в ТЦ ""Три Кита""";"4957803713; 9161928615";filippova.trikita@mail.ru;ekaterina@decogracia.ru;decogracia.ru;10:00 - 21:00;10:00 - 21:00;10:00 - 21:00;;3109
3842;Вильнюс, ЗАО Европластас (Europlastas UAB);Vilnius, S. Žukausko g.4;Салон лепнины Европласт;;Europlastas  /  Европластас;Europlastas  /  Европластас;"37067821777; 37060219556";europlastas@gmail.com;europlastas@gmail.com;www.europlastas.com;10:00 - 18:00;10:00 - 15:00;Выходной;;3841
3843;"Курган, ТЦ ""Пушкинский"", Салон ""AP-DEKO""";улица Пушкина, д. 25 (1 этаж), образцы, витрина;ТЦ Пушкинский;справа от центрального входа;ИП Кисeлева Л.С.;"Салон интерьера ""АP-DEKO""";"3522600689; 9128355889";ar-deco2010@mail.ru;info@evroplast-ekaterinburg.ru ;в работе;10:00 - 19:00;10:00 - 19:00;Выходной;;3481
6116;"Рязань, салон ""СИНТИ DEPO""";Московское шоссе, д. 6В, 1 этаж;"Торговый центр ""DEPO""";;"ООО ""Зеленый коридор""  ИП Фетисова Л.Г.";"ТД ""СИНТИ""";"4912460046; 4912460047";opt@cinti.ru ;opt@cinti.ru ;;10:00 - 19:00;10:00 - 19:00;10:00 - 18:00;;3189
6118;"Грозный, Салон-магазин ""Декор"" (ИП Виситаев)";улица Автурханова, д. 26;;;ИП Виситаев;"салон-магазин ""Декор""";"9280028487; 9288984850";sanke@rambler.ru;info@lepidecor.ru;www.lepidecor.ru;09:00 - 18:00;09:00 - 18:00;09:00 - 18:00;;3127
6121;"Гудермес, Офис-склад ""Декор"" (ИП Виситаев)";"г. Гудермес, Трасса Ростов-Баку, Трасса М29 ""Кавказ"" напротив АЗС Башлам";;Широта: 43°20?10.16?N (43.336155) Долгота: 46°6?34.25?E (46.109514);ИП Виситаев;"офис-склад ""Декор""";"9280028487; 9289656462";sanke@rambler.ru;info@lepidecor.ru;www.lepidecor.ru;08:00 - 18:00;08:00 - 18:00;08:00 - 18:00;;6119
6122;Вологда, Салон декора Европласт (ИП Пихтова Л.А.);улица Сергея Преминина, д. 10;ТЦ Омега;Отдельный вход с левого торца;ИП Пихтова Л.А.;Салон декора Европласт;"8172713096; 9315037376";evroplast.35@mail.ru;evroplast.35@mail.ru;;10:00 - 18:00;10:00 - 18:00;Выходной;;3304
6129;"Москва, Архитектурный декор-Фрески в ТК ""Конструктор"" (ИП Алекперов В.Г.)";"25км МКАД, внешняя сторона, ТК ""Конструктор"", павильон П 2-15";"ТК ""Конструктор""";;ИП Алекперов В.Г.;Архитектурный декор-Фрески;"9268429960; 9251340354";decorru@yandex.ru;decorru@yandex.ru;www.1decor.ru;10:00 - 21:00;10:00 - 21:00;10:00 - 21:00;;3109
6141;"Симферополь, Салон ""Элит Дом"" (ООО ""Элит Дом"")";пер. Сторожевой / Евпаторийское шоссе , д. 1/3, жилой дом, этаж 1;;;"ООО ""Элит Дом""";"салон ""Элит Дом""";"3652563266; 9788562233";elitdom@ukr.net;ofic.elitdom@mail.ru;www.vita-color.ru;09:00 - 18:00;Выходной;Выходной;;6142
6143;"Симферополь, Салон ""Oikos"" (ООО ""Элит Дом"")";улица Киевская, д. 179, жилой дом, офис №2;;;"ООО ""Элит Дом""";"салон ""Oikos""";9787333255;oikos-crimea@ro.ru;ofic.elitdom@mail.ru;www.vita-color.ru;09:00 - 18:00;Выходной;Выходной;;6142
6144;"Симферополь, Салон ""Spiver"" (ООО ""Элит Дом"")";улица Киевская, д. 179-Б, жилой дом, офис № 3-4;;;"ООО ""Элит Дом""";"салон ""Spiver""";9788562244;ofic.elitdom@mail.ru;ofic.elitdom@mail.ru;www.vita-color.ru;09:00 - 18:00;Выходной;Выходной;;6142
6146;"Курск, Салон-магазин ""Ремотделка"" (ИП Матвиенко В.В.)";проспект Победы, д. 26;Салон декоративных покрытий Ремотделка;;ИП Матвиенко В.В.;ООО Ремотделка;"4712397722; 4712397723";info@remotdel-ka.ru;"sasin@remotdel-ka.ru ; korotkih@remotdel-ka.ru";www.remotdel-ka.ru;09:00 - 18:00;10:00 - 17:00;Выходной;;3154
6148;Железногорск, ООО Ремотделка (ИП Матвиенко В.В.);улица Курская, д.74/2 (1 этаж);Салон декоративных покрытий Ремотделка;;ИП Матвиенко В.В.;ООО Ремотделка;9100225007;info@remotdel-ka.ru;"sasin@remotdel-ka.ru ; korotkih@remotdel-ka.ru";www.remotdel-ka.ru;09:00 - 18:00;10:00 - 15:00;Выходной;;6147
6149;"Киев, БЦ ""Аполло"" (ООО ""Украинский дом декора"")";ул. Здолбуновская, 7 (4-й этаж);;;"ООО ""Украинский дом декора""";;"+38044 499 81 07; +38067 505 53 49";info@udd.com.ua;info@udd.com.ua;www.udd.com.ua;;;;;3251
