 Дата  вопроса ;Вопрос;Ответ;Город
﻿05.11.2021; Доброе  утро.  Интересуют  такого  формата  плинтусы.  Есть  ли  у  вас  ?   ; Добрый  день,  Ирина.  К  сожаления  на  фото  не  вижу  детали  орнамента  карниза,  вот  схожие  по  конфигурации  модели  https://evroplast.ru/catalogue/interernyj-dekor/karnizy/1-50-203/  https://evroplast.ru/catalogue/interernyj-dekor/karnizy/1-50-164/  https://evroplast.ru/catalogue/interernyj-dekor/karnizy/1-50-117/  https://evroplast.ru/catalogue/interernyj-dekor/karnizy/1-50-256/ ;Санкт-Петербург
﻿05.11.2021; Добрый  день!  Подскажите,  пожалуйста,  как  можно  приобрести  ваш  шоу  бокс  для  работы  дизайнеру  на  объекте? ; Добрый  день,  Светлана.  наш  менеджер  свяжется  с  Вами  и  пояснит  условия.   ;Москва
﻿06.11.2021; Здравствуйте!  Где  узнать  характеристики  гибкого  молдинга?  Какой  минимальный  радиус  изгиба?  Сколько  времени  займёт  доставка  до  Курска? ; Добрый  день,  Вадим,  радиус  изгиба  указан  в  карточке  товара  в  табличной  части  размеров  скрин  по  ссылке  http://joxi.ru/LmGK6KKhg1v1gm  По  доставке  с  вами  свяжется  наш  представитель  в  регионе  в  ближайшее  время.  ПРЕДСТАВИТЕЛЬ  В  РЕГИОНЕ:  ООО  Ремотделка  ИП  Матвиенко  В.В.  Адрес:  проспект  Победы,  д.  26,  1  этаж    Телефон/факс:  +7  (4712)  39-77-22,  +7  (4712)  39-77-23    E-mail:  info@remotdel-ka.ru    www.remotdel-ka.ru ;Калининград
﻿06.11.2021; Добрый  день!  Подскажите,  пожалуйста  -  при  заказе  молдингов  1.51.302  обычного  и  гибкого  в  общем  количестве  44  штук,  в  какие  сроки  возможна  отправка  в  Ярославль? ; Добрый  день,  Наталия.  Наш  представитель  в  регионе  свяжется  с  Вами  в  ближайшее  время.  ПРЕДСТАВИТЕЛЬ  В  РЕГИОНЕ:  Салон  "Европласт"  ООО  "Ренессанс"  Адрес:  пр-т  Московский,  д.  54А,  1  этаж    Телефон/факс:  +7  (906)  511-76-50    E-mail:  evroplast76@mail.ru ;Казань
﻿06.11.2021; Приветствую!  1.  Подскажите  нужно  ли  шпаклевать  и  красить  ваши  потолочные  и  напольные  плинтуса  из  пенополиуретана?    2.  Подскажите  расценки  за  монтаж  (потолок/пол) ; Добрый  день,  Алексей!  1.  Изделия  ТМ  Европласт,  обязательно  нужно  шпаклевать  и  красить.  Шпаклевка  способствует  сгладить/скрыть  стыки  элементов  между  собой.  Монтаж  производится,  согласно  инструкции,  расположенной  на  нашем  сайте  в  разделе  Монтаж/Инструкции:  https://evroplast.ru/install/  2.  Для  предварительного  расчета  стоимости  монтажных  работ,  Вам  необходимо  обратиться  к  нашему  представителю  в  г.  Санкт-Петербург:  PITERRA  HOME  Адрес:  ул.  Уральская,  д.  13  Телефон/факс:  +7  (800)  707-01-67  E-mail:  shop@piterra.ru  www.piterra.ru  Спасибо.     ;Санкт-Петербург
﻿07.11.2021; Хочу  купить  у  вас  галтели  под  подсветку  над  натяжным  потолком,  что  вы  можете  мне  предложить?    Стиль  хай  тек  в  квартире  и  угловые  тоже ; Добрый  день,  Наталья.  Для  подбора  с  вами  свяжется  наш  представитель  в  регионе  в  ближайшее  время.  PITERRA  HOME  Адрес:  ул.  Уральская,  д.  13    Телефон/факс:  +7  (800)  707-01-67    E-mail:  shop@piterra.ru    piterra.ru  Время  работы:  Будни    10:00  -  20:00    Суббота    10:00  -  18:00    Воскресенье    10:00  -  18:00    Без  выходных ;Санкт-Петербург
﻿07.11.2021; Добрый  день!  Можно  уточнить  информацию  по  гибкому  карнизу  1.50.208.  Хотела  заказать    его  но  в  последнюю  минуту  увидела  что  на  вогнутую  часть      потолка  его  невозможно  применить.  Мне  нужен  карниз  под  светодиодную  ленту  и  на  потолке  4  части  по  60  см  именно  вогнутые.  Данный  карниз  точно  не  подойдёт?   ; Добрый  день,  Виктория.  Данный  карниз  не  подойдёт,  чтобы  подобрать  карниз  мне  необходим  радиус  дуг,  хотя  бы  приблизительный. ;Курск
﻿08.11.2021; Высота  молдинга  15см ; Добрый  день,  Елена.  наш  менеджер  свяжется  с  Вами.   ;Москва
﻿08.11.2021; Добрый  день!  Хотел  бы  приобрести  плинтус  по  безналичному  расчету  от  юр.  лица,  в  связи  с  чем  интересует  есть  ли  он  в  наличии,  если  нет,  то  каковы  сроки  и  какова  стоимость  с  учетом  объема  приобретаемого  материала?  НЕобходимо:  плинтус  6.53.106  (жесткий)  в  количестве  360шт  и  плинтус  6.563.106  (гибкий)  в  количестве  9шт. ; Добрый  день,  Руслан.  Благодарю  Вас  за  интерес,  проявленный  к  продукции  нашей  компании.  Продажу  и  продвижение  декора  ТМ  «Европласт»  в  регионах  РФ  компания  ООО  «Декор»  осуществляет  только  через  своих  официальных  представителей,  дилерские  компании,  содержащие  склады  с  наличием  продукции  в  регионе.  Менеджер  представителя  свяжется  с  Вами  в  ближайшее  время.    Контакты  представителя:  ЕВРОПЛАСТ-ТЮМЕНЬ  ООО  ТК  "Архитектурный  декор"    Тюмень,  ул.  50  лет  ВЛКСМ,  13,    +7  3452  59-57-46,  59-57-45    galla595745@mail.ru    www.decor-ad.ru    У  компании  ООО  ТК  "Архитектурный  декор"  есть  ряд  партнёров  и  в  г.  Лабытнанги.      ЕВРОПЛАСТ-ЛАБЫТНАНГИ    Компания  «Арт  Триумф»,  ООО  «Новый  Рим»  ул.  Республики,  д.  77,  1  этаж  +7  3492  26-19-71,  +7  902  816-19-71  rommus4371@mail.ru  art-triumph.com    ООО  «Юком.Ру»  ул.  Объездная,  д.  44Б  +7  (906)  885-50-50,  +7  (902)  816-19-71   ;Екатеринбург
﻿08.11.2021; Добрый  день  ,  подскажите  чем  обезжиривать  перед  покраской  дюрополимерный  плинтус? ;;Екатеринбург
﻿09.11.2021; Не  можем  подобрать  галтели ; Добрый  день,  Аслан.  Благодарю  Вас  за  интерес,  проявленный  к  продукции  нашей  компании.  Продажу  и  продвижение  декора  ТМ  «Европласт»  в  регионах  РФ  компания  ООО  «Декор»  осуществляет  только  через  своих  официальных  представителей,  дилерские  компании,  содержащие  склады  с  наличием  продукции  в  регионе.  Менеджер  представителя  свяжется  с  Вами  в  ближайшее  время.    Контакты  представителя:  ЕВРОПЛАСТ-КАЗАХСТАН  TOO  Evolution  Technologies  Салон  Премьера  Адрес:  г.  Алматы,  ул.  Абдуллиных,  д.  64  (шестиэтажное  здание,  1  этаж)  Телефон/факс:  +7  (707)  212-77-17,  +7  (707)  303-77-17  E-mail:  sales1@evp.kz  www.premiera.kz   ;Алматы
﻿09.11.2021; Здравствуйте,  я  работаю  в  дизайнерском  бюро  и  хотела  попросить  составить  коммерческое  предложение  по  карнизам ; Наталия,  добрый  день,  в  каком  городе  вы  находитесь? ;Ульяновск
﻿09.11.2021; 1.плинтус  1.53.108  размеры  121*17*200,  есть  в  продаже  из  дюрополимера.  2.молдинг    1.51.378    имеется  ли  в  продаже    из  дюрополимера ; Добрый  день,  Валентина.  С  Вами  свяжется  наш  менеджер.   ;Москва
﻿09.11.2021; В  какой  момент  ремонта  правильно  клеить  галтели?  До  шпаклёвки?  Наклейки  флизелина?  Или  можно  на  готовую  поверхность?   ; Добрый  день,  Сергей.  Монтаж  декора  производится  на  предчистовую  отделку.  Стены  должны  быть  прошпаклеваны,  прогрунтованы  грунтом  глубокого  проникновения.  Поклейка  обоев,  покраска  и  т.п  производится  после  монтажа.  Спасибо. ;Москва
﻿09.11.2021; Добрый  день.  Подскажите,  пожалуйста,  можно  ли  заказать  понравившийся  дизайн  потолочного  карниза  под  нужные  размеры?    https://evroplast.ru/karnizy/1-50-271/  вот  такой  карниз  под  размеры:  высота  по  стене  120,  ширина  по  потолку  94.     ; Добрый  день,  Яна.    Данная  модель  есть  в  таком  размере  ещё  https://evroplast.ru/karnizy/1-50-147/  Под  заказ  срок  изготовления  формы    3-4  месяца.   ;Москва
﻿09.11.2021; Молдинг  что  бы  заложить  в  него  светодиодную  ленту   ; Добрый  день,  Анна.  наш  менеджер  свяжется  с  Вами.   ;Москва
﻿10.11.2021; Здравствуйте!  Плинтус    6.53.701  есть  в  наличии? ; Добрый  день,  Анна,  в  каком  городе  вас  интересует  наличие? ;Санкт-Петербург
﻿10.11.2021; Здравствуйте.  Заказал  в  магазине  обойкин  карниз  6.50.712,  они  ,  сославшись  на  производителя,  заявили  что  этот  артикул  уже  не  выпускают  и  заменили  его  на  6.50.702  без  светоотражающиго  слоя.  На  вашем  сайте  я  вижу  оба  артикула,  поэтому  хотелось  бы  понять  выпускете  ли  вы  карниз  7.50.712? ; Добрый  день,  Антон,  мы  перешли  на  новую  технологию  без  фольги.  с  фольгой  больше  не  выпускаем.   ;Санкт-Петербург
﻿11.11.2021; Получить  счет  на  оплату  заказа  на  плинтус  1.53.103    гибкий  3  штуки  на  юридическое  лицо  ООО  "Тантал-Сервис"  г.  Киров  ИНН  4346041745. ; Добрый  день!  Благодарю  Вас  за  интерес,  проявленный  к  продукции  нашей  компании.  Продажу  и  продвижение  декора  ТМ  «Европласт»  в  регионах  РФ  компания  ООО  «Декор»  осуществляет  только  через  своих  официальных  представителей,  дилерские  компании,  содержащие  склады  с  наличием  продукции  в  регионе.  Менеджер  представителя  свяжется  с  Вами  в  ближайшее  время.    Контакты  представителя:  ЕВРОПЛАСТ-КИРОВ  ТЦ  "СтройРемо",  ИП  Кузницына  Е.А.,    г.  Киров,  ул.  Труда,  д.  71,  2-й  этаж  тел.  офиса:  8(8332)  43-25-00  тел.  магазина:  8(8332)  205-805  e-mail:  office@decorika43.ru   ;Киров
﻿11.11.2021; Есть  ли  у  Вас  в  наличии  в  Калининграде  вот  это  карниз  1.50.177 ; Добрый  день,  Максим,  наш  представитель  свяжется  с  Вами  в  ближайшее  время.  ПРЕДСТАВИТЕЛЬ  В  РЕГИОНЕ:  Dom&Decor  ООО  Скандинавская  Мебель,  ИП  В.А.  Федоров  Адрес:  Проспект  Победы,  д.  157А,  1  этаж    Телефон/факс:  +7  (4012)  75-85-75,  +7  (963)  292-48-78    E-mail:  salon@dom-decor.com    dom-decor.com ;Калининград
﻿11.11.2021; Добрый  день.  Есть  ли  у  вас  плинтусы  (короба)  для  труб  отопления? ; Добрый  день,  Наталья,  к  сожалению  нет. ;Архангельск
﻿11.11.2021; Каким  клейем  приклеить  карниз ; Добрый  день,  Фахри.  Монтаж  декора  ТМ  Европласт  производится  при  помощи  специализированных  клеев  -  для  монтажа  элементов  к  поверхности  используется  клей  Европласт  МОНТАЖНЫЙ  или  клей  Европласт  Универсальный.  Для  склеивания  элементов  между  собой,  необходимо  использовать  клей  Европласт  СТЫКОВОЧНЫЙ.  Более  подробно  с  пошаговой  технологией  монтажа,  Вы  можете  ознакомиться  на  нашем  сайте  в  разделе  Монтаж/Инструкции:  https://evroplast.ru/install/  А  так  же  по  интересующим  вопросам  можете  обратиться  к  нашему  представителю  в  г.Шемкент:  Адрес:  ул.  Туркестанская,  д.  186,  этаж  1  перекресток  уг.ул.  Аймауытова  Телефон/факс:  +7  (701)  059-00-24  E-mail:  shym.sales@evp.kz  premiera.kz ;Шымкент
﻿11.11.2021; 1.50.295  карниз  угловой    Стоимость  работ  за  единиц  ?     ; Добрый  день,  Ви.  Стоимость  установки  карниза  1.50.295  составляет  от  250  руб.  за  м.п. ;Москва
﻿11.11.2021; Добрый  день,  мне  нужен  данный  молдинг  в  кол-Ве  1-хлыста  в  г.Саратове.  Подскажите  пожалуйста  где  можно  приобрести. ; Добрый  день,  Алексей.  Благодарю  Вас  за  интерес,  проявленный  к  продукции  нашей  компании.  Продажу  и  продвижение  декора  ТМ  «Европласт»  в  регионах  РФ  компания  ООО  «Декор»  осуществляет  только  через  своих  официальных  представителей,  дилерские  компании,  содержащие  склады  с  наличием  продукции  в  регионе.  Менеджер  представителя  свяжется  с  Вами  в  ближайшее  время.    Контакты  представителя:  Европласт-Саратов  Центр  Лепного  Декора  ООО  «Дизайн-Паркет»  Адрес:  г.  Саратов,  улица  Московская,  д.  11,  этаж  1  Салон  находится  на  ул.  Московская,  между  ул.  Чернышевского  и  ул.  Лермонтова  Телефон/факс:  +7  (8452)  25-04-30,  +7  (937)  225-04-30  E-mail:  dezain-parket@bk.ru  www.rusplintus.ru   ;Ульяновск
﻿13.11.2021; Мне  нужен  молдинг  14-15  см  кудрявый  и  ещё  молдинг  с  подсветкой  вниз   ; Добрый  день,  Наталия.    наш  менеджер  свяжется  с  Вами.   ;Москва
﻿13.11.2021; Добрый  день!  Подскажите  пожалуйста,  я  у  вас  приобретала  карнизы  потолочные  гибкие  (ЗАКАЗ  №18627  от  17.10.2021г.),  но  сейчас  возникли  трудности  в  связи  с  тем,  что  я  не  учла,  что  использовать  на  вогнутый  радиус  их  невозможно.  В  связи  с  этим  возникает  необходимость  их  обмена  на  другие  карнизы.  Возможно  ли  это  у  вас  сделать?  За  ранее  благодарю.  С  уважением,  Ваш  клиент,  надеюсь  и  в  будущем,  Юлия. ; Добрый  день,  Юлия.    Да,  возможно.  Наш  менеджер  свяжется  с  вами  по  вопросу  возврата.   ;Москва
﻿14.11.2021; как  купить  стыковочный  клей,    как  быстро  будет  доставка,  где  получать? ; Добрый  день,  Юрий.  Благодарю  Вас  за  интерес,  проявленный  к  продукции  нашей  компании.  Продажу  и  продвижение  декора  ТМ  «Европласт»  в  регионах  РФ  компания  ООО  «Декор»  осуществляет  только  через  своих  официальных  представителей,  дилерские  компании,  содержащие  склады  с  наличием  продукции  в  регионе.  Менеджер  представителя  свяжется  с  Вами  в  ближайшее  время.    Контакты  представителя:  Европласт-Орел  ОАО  "База  строительных  товаров"  (ИП  Панухник  В.Н.  Магазин  "ОБОИ")  г.  Орёл,  ул.  Городская,  д.  98,  3  этаж,  в  здании  "Эстетика  интерьера"  Тел.:  +7  (4862)  71-48-01,  +7  (4862)  75-07-11    info@57.leso-torg.ru    www.leso-torg.ru   ;Орел
﻿14.11.2021; Добрый  день!    Как  происходит  работа  с  архитекторами?  Что  я  должна  предоставить  для  подтверждения? ; Добрый  день,  Катерина.  наш  менеджер  свяжется  с  Вами  и  сообщит  всю  необходимую  информацию.   ;Москва
﻿15.11.2021; Какие  плинтуса  высотой  60мм ; Добрый  день,  самый  маленький  плинтус  напольный  66мм  https://evroplast.ru/plintusy/1-53-111/  В  каком  городе  вы  находитесь? ;Москва
﻿16.11.2021; Интересует  европласт  на  данный  проект ; Добрый  день,  ответила  в  предыдущем  вопросе. ;Владивосток
﻿16.11.2021; Интересует  европласт  на  данный  проект ; Добрый  день,  Данил.  Вам  необходим  подбор  или  вы  хотите  изделия  под  заказ?  Судя  по  фото  чертежей,  вам  необходимо  изготовление  под  заказ. ;Владивосток
﻿16.11.2021; Добрый  вечер!  У  вас  можно  заказать  монтаж  потолочных  плинтусов? ; Добрый  день,  Юлия!  Менеджер  свяжется  с  Вами  сегодня  в  течении  дня.  Спасибо ;Москва
﻿16.11.2021; Нужно  закрыть  бок  стены  высота  2525  ширина  117.  Хотелось  бы  чтоб  это  был  либо  столб  приблизительно  ширина  117  либо  полуколонна ; Добрый  день,  Анжела.  Наш  менеджер  свяжется  с  Вами.   ;Москва
﻿17.11.2021; Как  можно  получить  3д-модели  для      дизайн-проектов? ; Добрый  день,  Альбина.  Вы  можете  скачать  3D  модели  по  ссылке  https://evroplast.ru/download/#3d-models ;Курск
﻿17.11.2021; Добрый  день!  Какими  красками  нельзя  окрашивать  полиуретановый  плинтус?  Известковой,  силикатной,  казеиновой  можно? ; Добрый  день,  Галина.  Изделия  ТМ  Европласт  можно  окрашивать  водно-дисперсными  красками.  Краски  с  содержанием  окислителей,  силикона,  силоксана  и  т.п  не  допускаются  при  окраске  ППУ.  Возникнут  вопросы,  звоните  по  тел:  +7926-847-13-57  Александра ;Москва
﻿17.11.2021; Добрый  день!  Подскажите,  пожалуйста,  у  вас  есть  в  ассортименте  молдинги  как  на  фото? ; Добрый  день,  Эльнара.  наш  менеджер  свяжется  с  Вами.   ;Москва
﻿18.11.2021; Сломался  механизм  открывания  и  закрывания  евродвери,  можно  вызвать  местера  посмотреть ; Добрый  день,  Дарья.  Мы  производим  лепной  декор.  У  нас  нет  в  ассортименте  дверей. ;Тюмень
﻿18.11.2021; Добрый  день!  Просчитайте  пожалуйста  по  замерам  моего  дизайнера  стоимость  декора,  а  также  количество  и  стоимость  клея,  необходимого  для  такого  объема.  Артикулы  нужного  декора  указаны  в  прикрепленном  файле.  Спасибо ; Добрый  день,  Анна.  наш  менеджер  свяжется  с  Вами.   ;Москва
﻿18.11.2021; Здравствуйте.  Можно  ли  использовать  ваши  плинтусы  и  карнизы  в  ванной  комнате?  насколько  устойчивы  они  к  воздействую  воды?   ; Добрый  день,  Юлия.  Их  можно  применять  в  ванной  комнате,  но  не  при  прямом  попадании  воды.  Рекомендуем  для  этого  нашу  коллекцию  из  композита.  Представитель  из  региона  свяжется  с  вами  для  подбора.  ПРЕДСТАВИТЕЛЬ  В  РЕГИОНЕ:  «ИЗБА»  ООО  «Все  потолки»  Адрес:  ул.  Машиностроителей,  14а,  2  этаж    Телефон/факс:  +7  (927)  063-34-62    E-mail:  azhukov@inbox.ru ;Волжский
﻿18.11.2021; Какие  сроки  доставки  1.51.606  20шт ; Добрый  день,  Надежда.  Благодарю  Вас  за  интерес,  проявленный  к  продукции  нашей  компании.  Продажу  и  продвижение  декора  ТМ  «Европласт»  в  регионах  РФ  компания  ООО  «Декор»  осуществляет  только  через  своих  официальных  представителей,  дилерские  компании,  содержащие  склады  с  наличием  продукции  в  регионе.  Менеджер  представителя  свяжется  с  Вами  в  ближайшее  время.    Контакты  представителя  Dom&Decor  Дом  Декора  (ООО  «Дом  Декора»)  Адрес:  г.  Сочи,  ул.  Пластунская  ,  29  Телефон/факс:  +7  (967)  660-11-57,  +7  (962)  858-16-41  E-mail:  salon-sochi@decorinfo.ru  evroplast-krd.ru    Время  работы:  Будни  09:00  -  19:00  Суббота  09:00  -  19:00  Воскресенье  09:00  -  19:00  Без  выходных ;Сочи
﻿18.11.2021; Здравствуйте,  а  какая  длина  гибкого    молдинга  1.51.321  у  вас  продается  по  стандарту?   ; Добрый  день,  Александра.  Длина  2000  мм. ;Белгород
﻿19.11.2021; В  какиме  сроки  могут  доставить  товар ; Добрый  день,  Ирина.  Благодарю  Вас  за  интерес,  проявленный  к  продукции  нашей  компании.  Продажу  и  продвижение  декора  ТМ  «Европласт»  в  регионах  РФ  компания  ООО  «Декор»  осуществляет  только  через  своих  официальных  представителей,  дилерские  компании,  содержащие  склады  с  наличием  продукции  в  регионе.  Менеджер  представителя  свяжется  с  Вами  в  ближайшее  время.    Контакты  представителя:  Салон  интерьера  «Стилиссимо"  ООО  "Компания  Стилиссимо",  ООО  «Веал  Строй»,  Адрес:  улица  М.Горького,  д.  23  Телефон/факс:  +7  (8142)  59-59-66,  +7  (921)  700-23-33  E-mail:  stilissimo10@mail.ru  stilissimo.karelia.ru    Время  работы:  Будни  10:00  -  19:00  Суббота  12:00  -  17:00  Воскресенье  Выходной ;Петрозаводск
﻿19.11.2021; Где  в  Астрахани  могу  приобрести  карниз  гибкий  фото  во  вложении ; Добрый  день,  Галина.  Благодарю  Вас  за  интерес,  проявленный  к  продукции  нашей  компании.  Продажу  и  продвижение  декора  ТМ  «Европласт»  в  регионах  РФ  компания  ООО  «Декор»  осуществляет  только  через  своих  официальных  представителей,  дилерские  компании,  содержащие  склады  с  наличием  продукции  в  регионе.  Менеджер  представителя  свяжется  с  Вами  в  ближайшее  время.    Контакты  представителя:  центр  дизайна  "DECOLE"  ООО  "Голдстрим"  Адрес:  улица  Адмиралтейская,  д.  30,  этаж  1    Телефон/факс:  +7  (8512)  29-88-67    E-mail:  astra@decole.ru    decole.ru  Время  работы:  Будни  10:00  -  18:00    Суббота  10:00  -  14:00    Воскресенье  Выходной ;Астрахань
﻿19.11.2021; Здравствуйте.    Предусмотрена  ли  партнёрская  работа  с  дизайнерами?  К  примеру  если  наша  дизайнерская  фирма  будет  указывать  в  своих  проектах  использование  продкуции  "Европласт"  для  ремонта  и  строительства?    Если  да,  то  какие  условия? ; Добрый  день!  Благодарю  Вас  за  интерес,  проявленный  к  продукции  нашей  компании.  Продажу  и  продвижение  декора  ТМ  «Европласт»  в  регионах  РФ  компания  ООО  «Декор»  осуществляет  только  через  своих  официальных  представителей,  дилерские  компании,  содержащие  склады  с  наличием  продукции  в  регионе.  Менеджер  представителя  свяжется  с  Вами  в  ближайшее  время.    Контакты  представителя:  PREMIERA  СП  ООО  "EVOTEK"  Адрес:  ул.Оккургон,  д.  14А,  1  этаж    Телефон/факс:  +99-89-55-15-49-49    E-mail:  info@premierauz.uz  Время  работы:  Будни  10:00  -  19:00    Суббота  10:00  -  17:00    Воскресенье  выходной ;Ташкент
﻿20.11.2021; Здравствуйте!  Скажите,  пожалуйста,  у  вас  можно  приобрести  пенопласт.  Куба  два  нужно.  И  плотность  какая  есть!   ; Добрый  день,  Наталья!  Мы  занимаемся  производством  лепного  декора  из  пенополиуретана.  В  нашем  ассортименте  нет  пенопласта.   ;Владивосток
﻿20.11.2021; Купил  белый  плинтус,  нужно  ли  его  красить  в  белый  цвет?   ; Добрый  день,  Вадим.  Плинтус  обязательно  нужно  окрашивать. ;Москва
﻿21.11.2021; нужен  гибкий  карниз  или  молдинг  где  искать ; Добрый  день,  Илья.  Посмотреть  гибкие  аналоги  можно  в  карточке  любого  карниза,  молдинга,  плинтуса  http://joxi.ru/xAew9wwsbv4apm  нажав  на  кнопку  гибкий  аналог. ;Санкт-Петербург
﻿22.11.2021; вопрос  о  сотрудничестве ; Добрый  день,  Ирина.  Благодарю  Вас  за  интерес,  проявленный  к  продукции  нашей  компании.  Продажу  и  продвижение  декора  ТМ  «Европласт»  в  регионах  РФ  компания  ООО  «Декор»  осуществляет  только  через  своих  официальных  представителей,  дилерские  компании,  содержащие  склады  с  наличием  продукции  в  регионе.  Менеджер  представителя  свяжется  с  Вами  в  ближайшее  время.    Контакты  представителя:  Салон-магазин  МастерДом  ИП  Шаталова  Т.Л.  Адрес:  Пр-т  Кулакова,  д.  26,  2  этаж    Телефон/факс:  +7  (4712)  22-78-27    E-mail:  masterdomkursk@yandex.ru  Время  работы:    Будни  09:00  -  20:00    Суббота  09:00  -  20:00    Воскресенье  09:00  -  20:00    Без  выходных   ;Курск
﻿22.11.2021; Интересуют  розетки  (тест)   ;принято;Москва
﻿23.11.2021; Не  могу  точно  определиться  с  размерами  карниза   ; Добрый  день.  Яна  Наш  менеджер  свяжется  с  Вами  и  поможет  определиться.   ;Москва
﻿23.11.2021; Добрый  день,  помогите  пожалуйста  в  выборе  молдингов  по  дизайн  проекту. ; Добрый  день,  Татьяна.  наш  менеджер  свяжется  с  Вами.   ;Москва
﻿23.11.2021; На  молдинге  1.51.301  на  обратной  стороне,  вдоль  всего  изделия  проходит  выемка,  на  образце  в  салоне  и  на  сайте  обратная  сторона  изделия  гладкая  и  ровная.   ; Добрый  день,  Елена.  Тыльная  сторона  изделий  может  отличаться  от  образцов  представленных  в  салонах,  в  том  числе  на  сайте.  Наш  менеджер  свяжется  с  Вами.   ;Москва
﻿23.11.2021;Сотрудничество; Добрый  день,  Андрей.  Благодарю  Вас  за  интерес,  проявленный  к  продукции  нашей  компании.  Продажу  и  продвижение  декора  ТМ  «Европласт»  в  регионах  РФ  компания  ООО  «Декор»  осуществляет  только  через  своих  официальных  представителей,  дилерские  компании,  содержащие  склады  с  наличием  продукции  в  регионе.  Менеджер  представителя  свяжется  с  Вами  в  ближайшее  время.    Контакты  представителя:  Dom&Decor  Дом  Декора  (ООО  «Дом  Декора»)  Адрес:  г.  Сочи,  ул.  Пластунская  ,  29    Телефон/факс:  +7  (967)  660-11-57,  +7  (962)  858-16-41    E-mail:  salon-sochi@decorinfo.ru    evroplast-krd.ru  Время  работы:  Будни  09:00  -  19:00    Суббота  09:00  -  19:00    Воскресенье  09:00  -  19:00    Без  выходных   ;Сочи
﻿25.11.2021; Плинтус  потолочный  из  пенополистерола   ; Добрый  день,  Вера.    Наш  менеджер  свяжется  с  Вами.   ;Москва
﻿25.11.2021; Плинтус  потолочный  из  пенополистерола   ; Добрый  день,  Вера,  менеджер  свяжется  с  вами  в  ближайшее  время. ;Москва
﻿25.11.2021; Вопрос  по  сотрудничеству  с  компанией. ; Добрый  день,  Елена.  Благодарю  Вас  за  интерес,  проявленный  к  продукции  нашей  компании.  Продажу  и  продвижение  декора  ТМ  «Европласт»  в  регионах  РФ  компания  ООО  «Декор»  осуществляет  только  через  своих  официальных  представителей,  дилерские  компании,  содержащие  склады  с  наличием  продукции  в  регионе.  Менеджер  представителя  свяжется  с  Вами  в  ближайшее  время.    Контакты  представителя:  Европласт-Пермь    ЗАО  "СТРОЙИНТЕР"                                                                                      Салоны  "Декор  центр"                                                                              Адрес  центрального  офиса:  улица  Ленина,  д.  15                                                                                          Телефон/факс:  +7  (342)  219-05-70  +7  (342)  219-05-71  +7  (342)  225-20-15  stroyinter-dir@yandex.ru      ВИЗАРД  ООО  "ВИЗАРД-  ИНТЕРЬЕРНЫЕ  РЕШЕНИЯ",  ИП  Катаев  А.А.  ул.  Н.  Островского,  44а,  2-этаж  (отдельно  стоящее  здание)  Тел.:  +7  (342)  214-14-00  plotnikov_wizard@mail.ru   ;Пермь
﻿25.11.2021; Здравствуйте!  Меня  зовут  Анжелика,  студия  архитектуры  и  дизайна    Дмитрия  Давыдовского  Украина.  г.  Киев.      У  нас  обьект  в  г.  Казань.  Подскажите  каким  образом  мы  можем  связаться  с  вами,  чтобы  сделать  коммерческое  предложение  для  клиента?   ; Добрый  день,  Анжелика.  Благодарю  Вас  за  интерес,  проявленный  к  продукции  нашей  компании.  Продажу  и  продвижение  декора  ТМ  «Европласт»  в  регионах  РФ  компания  ООО  «Декор»  осуществляет  только  через  своих  официальных  представителей,  дилерские  компании,  содержащие  склады  с  наличием  продукции  в  регионе.  Менеджер  представителя  свяжется  с  Вами  в  ближайшее  время.    Контакты  представителя:  ООО  «ЕВРОПЛАСТ  ДЕКОР»    Казань,  ул.  Адоратского,  д.3,    +7  (843)  522-04-54,  +7  (987)  410-14-14,    5220454@mail.ru    Казань,  ул.  Аделя  Кутуя,  д.  72,    +7  (843)  205-30-05,  +7  (987)  410-14-14,    5220454@mail.ru    www.evroplastrt.ru  www.evroplastkazan.ru      ООО  «ЛЕПНОЙ  ДЕКОР  ЕВРОПЛАСТ»    Казань,  ул.  Горсоветская  д.  33,  офис  3,    +7  (843)  562-45-32,  +7  (987)  226  33  55,    zakaz@evroplast116.ru      Казань,  ул.  Ямашева,  д.  93,  ТК  "Савиново",  2  этаж    +7  (843)226-33-55,    zakaz@evroplast116.ru    www.evroplast116.ru   ;Киев
﻿27.11.2021; Где  я  могу  приобрести  молдинг  6.51.363  и  по  какой  цене. ; Добрый  день,  Екатерина.  наш  менеджер  свяжется  с  Вами. ;Москва
﻿27.11.2021; Покупка  молдингов   ; Добрый  день,  Андрей.  наш  менеджер  с  Вами  свяжется. ;Москва
﻿27.11.2021; Какие  бывают  плинтуса ; Дмитрий,  здравствуйте,  в  каком  городе  вы  находитесь?  Наш  менеджер  свяжется  с  Вами  и  проконсультирует. ;Казань
